Model,B_lineAgent (30),,RedMeanderAgent(30),,SleepAgent (30),,B_lineAgent (50),,RedMeanderAgent(50),,SleepAgent (50),,B_lineAgent (100),,RedMeanderAgent(100),,SleepAgent (100),,
,,,,,,,,,,,,,,,,,,,
Random,-109.8,68.5,-43.25,3.9,-11.5,3.9,-287,158.3,-120.15,29.2,-15.2,4.0,-398.75,224.6,-310.09,175.9,-33.1,5.7,
,,,,,,,,,,,,,,,,,,,
PPO,-52.1,11.06,-25.68,11.19,-0.1,0.32,-123.76,4.50,-92.77,32.12,0.0,0.0,-274.87,14.20,-235.36,120.42,0.0,0.0,
,,,,,,,,,,,,,,,,,,,
A2C,-52.02,17.75,-26.94,10.4,-0.1,0.32,-117.45,11.26,-84.1,33.78,-0.3,0.48,-258.05,32.51,-232.3,123.03,-0.1,0.32,
,,,,,,,,,,,,,,,,,,,
A2C w/ RND,-60.3,5.6,-26.77,9.87,0.0,0.0,-113.29,21.29,-100.3,25.94,-0.2,0.42,-270.83,9.55,-294.6,88.74,-0.6,0.70,
,,,,,,,,,,,,,,,,,,,
A2C SSD,-52.18,9.46,-24.77,13.65,-0.1,0.31,-111.00,17.70,-92.09,36.83,-0.1,0.31,-267.5,21.81,-202.88,78.43,-0.1,0.31,
