episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained_this_iter,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner_queue/size_count,info/learner_queue/size_mean,info/learner_queue/size_std,info/learner_queue/size_quantiles,info/timing_breakdown/learner_grad_time_ms,info/timing_breakdown/learner_load_time_ms,info/timing_breakdown/learner_load_wait_time_ms,info/timing_breakdown/learner_dequeue_time_ms,info/learner/default_policy/grad_gnorm,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff,info/learner/default_policy/learner_stats/var_gnorm,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var
-157.1,-1093.5000000000005,-501.1714285714287,99.0,28,4,2400,500,2400,False,28,1,5be72_00000,a0de10e709e2419db8b256e97ed59cec,2022-01-22_14-27-26,1642861646,4.577926158905029,4.577926158905029,31068,MAC-ATI0602,127.0.0.1,4.577926158905029,500,1,"[-175.9, -830.8, -438.0, -232.99999999999983, -478.8000000000012, -1078.1, -278.2, -842.3, -462.80000000000126, -281.6999999999998, -217.49999999999994, -446.09999999999997, -304.2999999999998, -947.2, -1093.5000000000005, -343.4, -157.1, -782.7, -387.3, -1019.7, -222.59999999999997, -221.79999999999995, -214.7, -789.8, -161.10000000000002, -1033.8000000000006, -282.2999999999998, -308.3]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.6419190666644958,1.3933771006901154,0.0786259238968222,4.341382698053641,0.0,831.425,601.377,2400,2400,500,500,58.628571428571426,59.17142857142857,4,1.5,1.118033988749895,"[0.0, 0.30000000000000004, 1.5, 2.7, 3.0]",848.991,0.0,0.0,213.507,40.0,9.999999747378752e-05,-412.0971,3.713551,0.009999999776482582,22.628006,12519.759,1.0430813e-05
-141.00000000000003,-1095.9,-455.3860000000001,99.0,76,4,10000,500,10000,False,104,2,5be72_00000,a0de10e709e2419db8b256e97ed59cec,2022-01-22_14-27-36,1642861656,10.664067029953003,15.241993188858032,31068,MAC-ATI0602,127.0.0.1,15.241993188858032,1000,2,"[-478.8000000000012, -1078.1, -278.2, -842.3, -462.80000000000126, -281.6999999999998, -217.49999999999994, -446.09999999999997, -304.2999999999998, -947.2, -1093.5000000000005, -343.4, -157.1, -782.7, -387.3, -1019.7, -222.59999999999997, -221.79999999999995, -214.7, -789.8, -161.10000000000002, -1033.8000000000006, -282.2999999999998, -308.3, -845.8, -172.69999999999965, -189.3, -258.29999999999995, -474.40000000000134, -241.69999999999962, -254.69999999999987, -315.1, -708.4000000000008, -1095.9, -183.9, -230.69999999999968, -212.49999999999972, -791.7000000000014, -233.2, -419.700000000001, -197.8, -705.3, -208.49999999999986, -1076.8, -999.5, -490.8999999999999, -341.2, -893.0999999999999, -298.70000000000016, -258.79999999999984, -214.8, -335.5999999999998, -955.7000000000014, -284.2, -286.5999999999998, -502.0, -1004.7000000000014, -998.4, -187.2, -192.69999999999962, -178.69999999999965, -204.89999999999984, -375.39999999999986, -718.1, -212.69999999999965, -588.8, -150.6, -141.00000000000003, -431.10000000000105, -438.0, -813.9, -226.59999999999997, -187.59999999999962, -241.59999999999997, -211.49999999999997, -238.5, -204.00000000000003, -978.3999999999999, -171.5, -215.0, -192.29999999999998, -214.69999999999965, -603.2000000000008, -1011.1000000000006, -255.0, -176.3, -400.6, -204.69999999999987, -288.5, -150.49999999999994, -602.1, -226.09999999999988, -664.7000000000007, -193.69999999999962, -684.700000000001, -839.4, -458.7, -367.9, -1093.2, -567.7]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.5988173797595535,1.228590401376125,0.0730064519097455,4.051095793091054,0.0,735.27,680.022,10000,10000,500,10000,51.38666666666666,58.886666666666656,20,0.3,0.7810249675906654,"[0.0, 0.0, 0.0, 1.1000000000000014, 3.0]",8.109,0.0,0.0,727.518,39.999992,9.999999747378752e-05,-319.619,3.713333,0.009999999776482582,22.641052,9037.724,-0.00020480156
-141.00000000000003,-1093.2,-408.69500000000005,99.0,64,4,16500,500,16500,False,168,3,5be72_00000,a0de10e709e2419db8b256e97ed59cec,2022-01-22_14-27-47,1642861667,10.462395906448364,25.704389095306396,31068,MAC-ATI0602,127.0.0.1,25.704389095306396,1500,3,"[-212.69999999999965, -588.8, -150.6, -141.00000000000003, -431.10000000000105, -438.0, -813.9, -226.59999999999997, -187.59999999999962, -241.59999999999997, -211.49999999999997, -238.5, -204.00000000000003, -978.3999999999999, -171.5, -215.0, -192.29999999999998, -214.69999999999965, -603.2000000000008, -1011.1000000000006, -255.0, -176.3, -400.6, -204.69999999999987, -288.5, -150.49999999999994, -602.1, -226.09999999999988, -664.7000000000007, -193.69999999999962, -684.700000000001, -839.4, -458.7, -367.9, -1093.2, -567.7, -622.1000000000001, -245.69999999999962, -816.4, -256.19999999999993, -172.4, -186.69999999999965, -448.5, -249.2999999999999, -248.7, -309.7, -653.6, -813.6000000000003, -1033.0, -210.9, -217.29999999999984, -168.69999999999968, -223.5, -175.39999999999986, -433.7000000000011, -166.0999999999999, -207.69999999999968, -526.0999999999999, -278.99999999999983, -217.69999999999965, -165.5, -789.7000000000014, -474.4, -614.9999999999999, -235.7, -352.4, -212.9, -915.6000000000009, -468.19999999999993, -935.5, -195.70000000000002, -179.69999999999993, -572.5, -219.9, -221.4999999999997, -254.4, -410.09999999999997, -201.29999999999978, -586.5, -448.7, -213.0, -505.3, -576.700000000001, -424.80000000000007, -993.5, -332.89999999999975, -145.10000000000002, -396.8, -248.4, -580.0, -607.4000000000011, -266.7, -1062.2000000000012, -399.6, -158.8999999999998, -278.5, -202.89999999999978, -921.2, -291.5, -281.0]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.5818584164240772,1.1938330092817435,0.07301074464108057,4.068240564378726,0.0,811.77,615.938,16500,16500,500,16500,55.906666666666666,58.77999999999999,33,0.18181818181818182,0.6254474981984938,"[0.0, 0.0, 0.0, 0.0, 3.0]",9.145,0.0,0.0,802.838,40.0,9.999999747378752e-05,-239.89604,3.7128558,0.009999999776482582,22.660782,4560.5503,-0.00038301945
-119.30000000000001,-1113.4,-390.72900000000016,99.0,72,4,23500,500,23500,False,240,4,5be72_00000,a0de10e709e2419db8b256e97ed59cec,2022-01-22_14-27-58,1642861678,10.694947957992554,36.39933705329895,31068,MAC-ATI0602,127.0.0.1,36.39933705329895,2000,4,"[-572.5, -219.9, -221.4999999999997, -254.4, -410.09999999999997, -201.29999999999978, -586.5, -448.7, -213.0, -505.3, -576.700000000001, -424.80000000000007, -993.5, -332.89999999999975, -145.10000000000002, -396.8, -248.4, -580.0, -607.4000000000011, -266.7, -1062.2000000000012, -399.6, -158.8999999999998, -278.5, -202.89999999999978, -921.2, -291.5, -281.0, -275.8999999999997, -170.6, -160.90000000000003, -395.4999999999999, -169.79999999999993, -524.7000000000007, -502.3000000000004, -159.6, -588.9000000000003, -192.6999999999997, -216.69999999999962, -706.7, -369.2, -339.3000000000011, -214.49999999999972, -288.19999999999976, -317.70000000000056, -402.09999999999997, -339.3000000000002, -232.8999999999999, -166.0, -999.5000000000002, -714.8000000000012, -184.99999999999986, -188.59999999999997, -1070.4, -308.3, -364.7000000000014, -148.1, -466.7000000000014, -699.7000000000014, -183.4, -166.20000000000002, -194.6, -253.59999999999994, -1113.4, -245.4, -793.2, -674.6, -249.60000000000002, -651.7000000000014, -596.7, -165.50000000000003, -230.2, -171.0, -1093.7000000000007, -170.3, -418.19999999999993, -185.20000000000002, -377.3000000000001, -251.89999999999992, -291.9999999999999, -644.4, -191.69999999999965, -236.4, -191.29999999999995, -972.9, -433.6, -119.30000000000001, -168.7, -581.5000000000002, -300.4999999999997, -373.70000000000044, -185.8, -158.9, -232.6999999999996, -137.70000000000002, -193.9, -755.5000000000002, -307.0999999999999, -202.7, -526.3]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.585377460981841,1.20233574332449,0.07418535852524252,4.124550597130251,0.0,766.628,652.207,23500,23500,500,23500,52.09375,58.8,47,0.1276595744680851,0.5306367622697842,"[0.0, 0.0, 0.0, 0.0, 3.0]",8.129,0.0,0.0,758.232,40.0,9.999999747378752e-05,-202.41896,3.7114878,0.009999999776482582,22.691973,3571.9695,0.00058496
-119.30000000000001,-1093.7000000000007,-336.97700000000003,99.0,64,4,30000,500,30000,False,304,5,5be72_00000,a0de10e709e2419db8b256e97ed59cec,2022-01-22_14-28-09,1642861689,10.877602100372314,47.276939153671265,31068,MAC-ATI0602,127.0.0.1,47.276939153671265,2500,5,"[-245.4, -793.2, -674.6, -249.60000000000002, -651.7000000000014, -596.7, -165.50000000000003, -230.2, -171.0, -1093.7000000000007, -170.3, -418.19999999999993, -185.20000000000002, -377.3000000000001, -251.89999999999992, -291.9999999999999, -644.4, -191.69999999999965, -236.4, -191.29999999999995, -972.9, -433.6, -119.30000000000001, -168.7, -581.5000000000002, -300.4999999999997, -373.70000000000044, -185.8, -158.9, -232.6999999999996, -137.70000000000002, -193.9, -755.5000000000002, -307.0999999999999, -202.7, -526.3, -283.4, -147.20000000000002, -406.6000000000005, -294.0999999999998, -203.9, -240.39999999999975, -280.0999999999999, -297.8, -209.5, -621.8000000000002, -189.20000000000002, -145.3, -297.3999999999998, -486.3, -128.10000000000002, -174.69999999999965, -685.7, -174.5, -169.10000000000002, -265.09999999999997, -209.6, -751.7000000000014, -984.2, -1023.9999999999999, -232.4, -191.49999999999994, -239.60000000000002, -277.2, -191.50000000000003, -381.50000000000045, -206.69999999999973, -228.2, -516.2000000000008, -200.70000000000002, -216.69999999999965, -364.3, -202.19999999999982, -231.4, -390.7, -202.6, -434.5, -283.5999999999999, -212.09999999999968, -183.10000000000002, -404.0, -470.4, -194.60000000000002, -236.49999999999994, -613.0, -187.0, -139.60000000000002, -189.39999999999992, -715.1, -193.7, -226.69999999999962, -139.8, -186.3999999999997, -203.6999999999996, -288.7999999999998, -270.49999999999994, -655.6, -460.30000000000024, -230.39999999999995, -154.69999999999996]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.595690611030559,1.2127538374848965,0.07532742137631185,4.17783674252378,0.0,791.489,631.72,30000,30000,500,30000,51.74,59.066666666666684,60,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",9.857,0.0,0.0,782.058,40.0,9.999999747378752e-05,-118.67336,3.7086644,0.009999999776482582,22.729418,716.98645,-0.007139325
-111.9,-1115.8,-343.89000000000016,99.0,52,4,35000,500,35000,False,356,6,5be72_00000,a0de10e709e2419db8b256e97ed59cec,2022-01-22_14-28-19,1642861699,10.548260927200317,57.82520008087158,31068,MAC-ATI0602,127.0.0.1,57.82520008087158,3000,6,"[-685.7, -174.5, -169.10000000000002, -265.09999999999997, -209.6, -751.7000000000014, -984.2, -1023.9999999999999, -232.4, -191.49999999999994, -239.60000000000002, -277.2, -191.50000000000003, -381.50000000000045, -206.69999999999973, -228.2, -516.2000000000008, -200.70000000000002, -216.69999999999965, -364.3, -202.19999999999982, -231.4, -390.7, -202.6, -434.5, -283.5999999999999, -212.09999999999968, -183.10000000000002, -404.0, -470.4, -194.60000000000002, -236.49999999999994, -613.0, -187.0, -139.60000000000002, -189.39999999999992, -715.1, -193.7, -226.69999999999962, -139.8, -186.3999999999997, -203.6999999999996, -288.7999999999998, -270.49999999999994, -655.6, -460.30000000000024, -230.39999999999995, -154.69999999999996, -286.70000000000016, -195.59999999999997, -209.5, -178.9999999999998, -369.700000000001, -186.3, -270.69999999999976, -290.4, -204.99999999999983, -207.7, -985.0, -643.3, -244.89999999999992, -955.3, -323.1999999999997, -186.3, -147.09999999999985, -190.5, -381.50000000000114, -167.4, -227.6, -442.0, -529.6999999999999, -234.4, -295.69999999999993, -515.0000000000013, -807.4, -319.59999999999985, -435.89999999999986, -459.50000000000114, -228.89999999999998, -222.2999999999997, -1115.8, -181.0, -153.5, -239.3999999999999, -245.0, -566.5, -413.8999999999999, -731.7000000000014, -222.39999999999998, -277.4, -979.5000000000002, -407.8000000000006, -389.4, -160.6, -201.0, -111.9, -137.20000000000002, -198.89999999999998, -287.4, -214.79999999999995]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.6168271679403896,1.2443764336247198,0.07730395999883696,4.324508739346531,0.0,1061.505,471.029,35000,35000,500,35000,67.61999999999999,59.21333333333333,70,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",11.386,0.0,0.0,1049.731,40.000004,9.999999747378752e-05,-297.00507,3.7043343,0.009999999776482582,22.763624,6174.9883,-0.001998186
-111.9,-1115.8,-333.69100000000003,99.0,56,4,40500,500,40500,False,412,7,5be72_00000,a0de10e709e2419db8b256e97ed59cec,2022-01-22_14-28-31,1642861711,11.312016010284424,69.137216091156,31068,MAC-ATI0602,127.0.0.1,69.137216091156,3500,7,"[-204.99999999999983, -207.7, -985.0, -643.3, -244.89999999999992, -955.3, -323.1999999999997, -186.3, -147.09999999999985, -190.5, -381.50000000000114, -167.4, -227.6, -442.0, -529.6999999999999, -234.4, -295.69999999999993, -515.0000000000013, -807.4, -319.59999999999985, -435.89999999999986, -459.50000000000114, -228.89999999999998, -222.2999999999997, -1115.8, -181.0, -153.5, -239.3999999999999, -245.0, -566.5, -413.8999999999999, -731.7000000000014, -222.39999999999998, -277.4, -979.5000000000002, -407.8000000000006, -389.4, -160.6, -201.0, -111.9, -137.20000000000002, -198.89999999999998, -287.4, -214.79999999999995, -228.5, -179.7, -550.6000000000003, -685.6, -320.7, -741.6, -357.40000000000055, -373.4, -237.89999999999998, -170.69999999999965, -309.59999999999974, -185.5, -154.0, -187.0, -671.4, -265.19999999999993, -738.5, -303.4, -693.7000000000014, -173.89999999999986, -159.0999999999999, -181.8, -281.0, -147.10000000000002, -307.7000000000002, -184.3, -176.09999999999988, -147.0, -336.8, -176.6, -253.49999999999983, -144.7999999999999, -234.60000000000002, -169.9999999999998, -280.2, -281.0999999999999, -219.70000000000002, -270.7, -229.89999999999984, -461.19999999999993, -182.9, -273.6, -221.09999999999974, -251.0, -388.4000000000002, -381.8, -247.59999999999985, -255.89999999999986, -231.39999999999986, -213.7999999999999, -233.1, -432.7, -197.69999999999965, -269.4, -238.89999999999984, -588.0000000000003]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.6419890198080855,1.2902950861675677,0.08019796151225211,4.519082297654745,0.0,973.428,513.649,40500,40500,500,40500,67.75625,59.875,81,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",12.538,0.0,0.0,960.38,40.0,9.999999747378752e-05,-213.08305,3.6994262,0.009999999776482582,22.806267,4136.3,-2.515316e-05
-134.3,-1022.0,-277.742,99.0,55,4,46050,500,46050,False,467,8,5be72_00000,a0de10e709e2419db8b256e97ed59cec,2022-01-22_14-28-41,1642861721,10.460968255996704,79.59818434715271,31068,MAC-ATI0602,127.0.0.1,79.59818434715271,4000,8,"[-185.5, -154.0, -187.0, -671.4, -265.19999999999993, -738.5, -303.4, -693.7000000000014, -173.89999999999986, -159.0999999999999, -181.8, -281.0, -147.10000000000002, -307.7000000000002, -184.3, -176.09999999999988, -147.0, -336.8, -176.6, -253.49999999999983, -144.7999999999999, -234.60000000000002, -169.9999999999998, -280.2, -281.0999999999999, -219.70000000000002, -270.7, -229.89999999999984, -461.19999999999993, -182.9, -273.6, -221.09999999999974, -251.0, -388.4000000000002, -381.8, -247.59999999999985, -255.89999999999986, -231.39999999999986, -213.7999999999999, -233.1, -432.7, -197.69999999999965, -269.4, -238.89999999999984, -588.0000000000003, -214.2, -179.39999999999998, -428.60000000000133, -215.5999999999999, -259.5, -191.89999999999998, -245.29999999999993, -602.6999999999999, -196.39999999999975, -530.3, -154.5, -230.5, -134.3, -198.2999999999998, -225.29999999999998, -214.2, -1022.0, -189.69999999999962, -179.20000000000002, -172.39999999999992, -221.69999999999956, -187.0999999999999, -329.3, -259.5999999999997, -176.7, -196.49999999999977, -566.4000000000007, -152.69999999999965, -368.9000000000002, -255.9999999999999, -169.5, -475.0, -169.69999999999968, -282.9, -154.8, -238.19999999999968, -610.6, -185.6999999999997, -213.10000000000002, -308.8, -265.89999999999986, -301.40000000000003, -166.9, -199.69999999999962, -177.69999999999965, -211.90000000000003, -336.9999999999999, -379.1000000000001, -239.39999999999986, -159.00000000000003, -565.7000000000014, -201.0, -167.0, -167.19999999999996, -304.7]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.6564384480983553,1.3143611466439122,0.0817368828991845,4.6246990585621655,0.0,944.29,529.498,46050,46050,500,46000,64.74666666666666,60.46000000000001,92,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",10.497,0.0,0.0,933.964,40.0,9.999999747378752e-05,-148.7524,3.6834345,0.009999999776482582,22.853216,2016.8608,0.0013210177
-138.5,-610.6,-243.783,99.0,65,4,52550,500,52550,False,532,9,5be72_00000,a0de10e709e2419db8b256e97ed59cec,2022-01-22_14-28-52,1642861732,10.789114952087402,90.38729929924011,31068,MAC-ATI0602,127.0.0.1,90.38729929924011,4500,9,"[-221.69999999999956, -187.0999999999999, -329.3, -259.5999999999997, -176.7, -196.49999999999977, -566.4000000000007, -152.69999999999965, -368.9000000000002, -255.9999999999999, -169.5, -475.0, -169.69999999999968, -282.9, -154.8, -238.19999999999968, -610.6, -185.6999999999997, -213.10000000000002, -308.8, -265.89999999999986, -301.40000000000003, -166.9, -199.69999999999962, -177.69999999999965, -211.90000000000003, -336.9999999999999, -379.1000000000001, -239.39999999999986, -159.00000000000003, -565.7000000000014, -201.0, -167.0, -167.19999999999996, -304.7, -209.60000000000002, -202.20000000000002, -201.69999999999962, -230.09999999999982, -187.4999999999997, -154.3, -260.69999999999965, -258.7, -182.2, -175.19999999999987, -209.69999999999962, -217.50000000000003, -204.39999999999998, -200.69999999999968, -289.6, -226.1, -568.4, -222.2, -182.7, -207.5, -158.49999999999994, -177.10000000000002, -215.4999999999997, -497.40000000000015, -219.69999999999968, -274.5, -189.10000000000002, -214.59999999999985, -227.4999999999998, -200.59999999999977, -186.4, -195.0, -183.69999999999965, -296.59999999999997, -195.9, -240.2, -458.4000000000009, -168.40000000000003, -177.69999999999987, -208.39999999999998, -243.29999999999987, -213.69999999999962, -187.79999999999998, -255.89999999999992, -174.5, -151.99999999999997, -181.9, -303.3, -170.0, -168.7, -422.7000000000014, -205.3, -429.0000000000005, -220.69999999999962, -178.49999999999983, -138.5, -182.69999999999968, -257.09999999999957, -202.3, -177.8, -181.39999999999998, -361.2, -335.5, -178.3, -213.19999999999973]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.6592659891511947,1.3171103885994015,0.08206185542594946,4.646539802913654,0.0,848.313,589.405,52550,52550,500,52500,58.631249999999994,60.849999999999994,105,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",8.657,0.0,0.0,839.675,40.0,9.999999747378752e-05,-128.46996,3.6659935,0.009999999776482582,22.9124,944.76605,-0.011862278
-123.39999999999992,-610.7000000000005,-242.28599999999997,99.0,55,4,58000,500,58000,False,587,10,5be72_00000,a0de10e709e2419db8b256e97ed59cec,2022-01-22_14-29-02,1642861742,10.135880947113037,100.52318024635315,31068,MAC-ATI0602,127.0.0.1,100.52318024635315,5000,10,"[-158.49999999999994, -177.10000000000002, -215.4999999999997, -497.40000000000015, -219.69999999999968, -274.5, -189.10000000000002, -214.59999999999985, -227.4999999999998, -200.59999999999977, -186.4, -195.0, -183.69999999999965, -296.59999999999997, -195.9, -240.2, -458.4000000000009, -168.40000000000003, -177.69999999999987, -208.39999999999998, -243.29999999999987, -213.69999999999962, -187.79999999999998, -255.89999999999992, -174.5, -151.99999999999997, -181.9, -303.3, -170.0, -168.7, -422.7000000000014, -205.3, -429.0000000000005, -220.69999999999962, -178.49999999999983, -138.5, -182.69999999999968, -257.09999999999957, -202.3, -177.8, -181.39999999999998, -361.2, -335.5, -178.3, -213.19999999999973, -418.0, -302.0999999999999, -140.00000000000003, -191.69999999999962, -610.7000000000005, -341.40000000000026, -158.99999999999991, -412.40000000000094, -364.00000000000097, -190.39999999999998, -208.4, -186.29999999999995, -273.79999999999995, -196.49999999999966, -206.2999999999996, -201.39999999999986, -241.69999999999982, -256.69999999999976, -189.4, -179.0999999999998, -229.69999999999953, -296.70000000000033, -442.49999999999994, -235.69999999999962, -277.6999999999998, -240.09999999999977, -311.7, -209.99999999999997, -194.5, -186.7, -200.69999999999968, -172.50000000000003, -167.69999999999965, -353.0, -449.7, -210.69999999999965, -185.3, -134.7, -202.70000000000002, -182.3, -209.69999999999962, -197.0999999999999, -523.8000000000002, -191.79999999999987, -207.29999999999976, -192.1, -217.7999999999999, -171.7, -393.4, -185.6, -251.59999999999962, -311.29999999999984, -259.9, -123.39999999999992, -217.69999999999993]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.6603094417492252,1.31911534067144,0.0822582805218595,4.661625139747556,0.0,906.988,551.275,58000,58000,500,58000,60.442857142857136,60.978571428571435,116,0.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",10.967,0.0,0.0,897.344,40.000008,9.999999747378752e-05,-118.38199,3.604581,0.009999999776482582,22.96741,717.6241,-0.008119822
