episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
-143.6,-1141.4000000000005,-425.1700000000001,99.0,40,4,4000,0,4000,False,40,1,6a04b_00000,9d1e91a93c4449bdb16fae22ea5e0250,2022-01-21_17-20-53,1642785653,9.590282917022705,9.590282917022705,73544,MAC-ATI0602,127.0.0.1,9.590282917022705,0,1,"[-182.1, -186.00000000000003, -445.2000000000004, -872.6999999999999, -535.0000000000001, -188.7, -184.6, -835.9000000000008, -261.09999999999997, -1141.4000000000005, -227.7, -209.20000000000002, -449.9, -328.7000000000001, -149.0, -210.60000000000002, -191.00000000000003, -846.5000000000008, -310.9999999999999, -176.19999999999973, -1032.5, -232.0, -694.5, -990.5, -234.49999999999997, -297.9, -844.5000000000014, -184.89999999999995, -208.99999999999983, -321.5999999999998, -266.8999999999999, -143.6, -883.7000000000013, -149.4, -648.9000000000001, -1051.5000000000005, -213.0, -282.0, -188.09999999999968, -205.29999999999976]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.5522580532641796,1.2958329040687402,0.0736348397962816,3.8667456372515416,0.0,6100.889,655.642,3490.419,1145.994,2.619,4000,4000,4000,43.44285714285714,66.52142857142857,0.20000000298023224,9.999999747378752e-05,502.1843,-0.021480557,50220.086,0.00070328143,0.024693208,3.6893196,0.0
-130.2999999999999,-1141.4000000000005,-392.1050000000001,99.0,40,4,8000,0,8000,False,80,2,6a04b_00000,9d1e91a93c4449bdb16fae22ea5e0250,2022-01-21_17-21-01,1642785661,8.740272283554077,18.330555200576782,73544,MAC-ATI0602,127.0.0.1,18.330555200576782,0,2,"[-182.1, -186.00000000000003, -445.2000000000004, -872.6999999999999, -535.0000000000001, -188.7, -184.6, -835.9000000000008, -261.09999999999997, -1141.4000000000005, -227.7, -209.20000000000002, -449.9, -328.7000000000001, -149.0, -210.60000000000002, -191.00000000000003, -846.5000000000008, -310.9999999999999, -176.19999999999973, -1032.5, -232.0, -694.5, -990.5, -234.49999999999997, -297.9, -844.5000000000014, -184.89999999999995, -208.99999999999983, -321.5999999999998, -266.8999999999999, -143.6, -883.7000000000013, -149.4, -648.9000000000001, -1051.5000000000005, -213.0, -282.0, -188.09999999999968, -205.29999999999976, -523.7, -181.69999999999968, -545.5, -185.99999999999986, -377.9, -708.7, -192.2, -216.4, -211.49999999999997, -659.2, -330.69999999999976, -217.7, -249.4, -201.1, -988.4, -246.5, -228.2, -414.49999999999994, -418.60000000000116, -240.7, -245.6999999999998, -273.8999999999998, -252.7, -188.8, -201.39999999999986, -541.2, -227.0999999999997, -213.4, -268.7999999999999, -274.0999999999998, -205.99999999999994, -237.7, -130.2999999999999, -1043.3, -159.2, -257.5999999999998, -226.6, -434.6, -1089.3000000000004, -551.3]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.589699247837672,1.2657028971563828,0.07355811315300721,3.9030748354504965,0.0,7855.728,509.183,3064.533,1305.256,2.668,8000,8000,8000,45.407692307692315,66.33076923076922,0.30000001192092896,9.999999747378752e-05,247.39418,-0.012498122,24740.137,-0.00023841677,0.017666113,3.677018,0.0
-130.2999999999999,-1089.3000000000004,-373.517,99.0,40,4,12000,0,12000,False,120,3,6a04b_00000,9d1e91a93c4449bdb16fae22ea5e0250,2022-01-21_17-21-10,1642785670,8.808862924575806,27.139418125152588,73544,MAC-ATI0602,127.0.0.1,27.139418125152588,0,3,"[-1032.5, -232.0, -694.5, -990.5, -234.49999999999997, -297.9, -844.5000000000014, -184.89999999999995, -208.99999999999983, -321.5999999999998, -266.8999999999999, -143.6, -883.7000000000013, -149.4, -648.9000000000001, -1051.5000000000005, -213.0, -282.0, -188.09999999999968, -205.29999999999976, -523.7, -181.69999999999968, -545.5, -185.99999999999986, -377.9, -708.7, -192.2, -216.4, -211.49999999999997, -659.2, -330.69999999999976, -217.7, -249.4, -201.1, -988.4, -246.5, -228.2, -414.49999999999994, -418.60000000000116, -240.7, -245.6999999999998, -273.8999999999998, -252.7, -188.8, -201.39999999999986, -541.2, -227.0999999999997, -213.4, -268.7999999999999, -274.0999999999998, -205.99999999999994, -237.7, -130.2999999999999, -1043.3, -159.2, -257.5999999999998, -226.6, -434.6, -1089.3000000000004, -551.3, -204.1, -230.5, -762.9, -240.9, -219.59999999999988, -186.9, -220.6, -499.4, -245.69999999999982, -223.29999999999995, -173.1, -160.0999999999999, -570.9, -277.6, -187.2, -162.3, -811.4, -256.6, -350.9, -219.89999999999978, -996.5000000000006, -183.40000000000003, -251.09999999999994, -485.5, -432.2000000000004, -780.1, -194.10000000000002, -258.5, -929.1, -197.2999999999999, -359.10000000000014, -199.90000000000003, -145.3, -170.10000000000002, -162.69999999999965, -176.29999999999995, -226.49999999999997, -425.2, -140.3, -998.7]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.5970133178384807,1.241631082012631,0.07307915413256524,3.909032036449436,0.0,8038.824,497.585,3063.466,1305.71,3.089,12000,12000,12000,50.300000000000004,66.48333333333333,0.30000001192092896,9.999999747378752e-05,188.51591,-0.018804897,18852.865,-0.00031642368,0.02029767,3.6673687,0.0
-130.2999999999999,-1089.3000000000004,-308.913,99.0,40,4,16000,0,16000,False,160,4,6a04b_00000,9d1e91a93c4449bdb16fae22ea5e0250,2022-01-21_17-21-19,1642785679,8.65665888786316,35.79607701301575,73544,MAC-ATI0602,127.0.0.1,35.79607701301575,0,4,"[-245.6999999999998, -273.8999999999998, -252.7, -188.8, -201.39999999999986, -541.2, -227.0999999999997, -213.4, -268.7999999999999, -274.0999999999998, -205.99999999999994, -237.7, -130.2999999999999, -1043.3, -159.2, -257.5999999999998, -226.6, -434.6, -1089.3000000000004, -551.3, -204.1, -230.5, -762.9, -240.9, -219.59999999999988, -186.9, -220.6, -499.4, -245.69999999999982, -223.29999999999995, -173.1, -160.0999999999999, -570.9, -277.6, -187.2, -162.3, -811.4, -256.6, -350.9, -219.89999999999978, -996.5000000000006, -183.40000000000003, -251.09999999999994, -485.5, -432.2000000000004, -780.1, -194.10000000000002, -258.5, -929.1, -197.2999999999999, -359.10000000000014, -199.90000000000003, -145.3, -170.10000000000002, -162.69999999999965, -176.29999999999995, -226.49999999999997, -425.2, -140.3, -998.7, -203.4, -209.99999999999983, -212.3, -211.5, -194.4, -352.5999999999999, -250.9, -220.8, -267.0999999999999, -361.40000000000094, -185.69999999999987, -225.5, -590.7000000000005, -182.50000000000003, -156.60000000000002, -237.5999999999996, -184.00000000000003, -255.7, -196.5, -202.2, -345.79999999999995, -182.69999999999985, -200.59999999999985, -154.7, -422.5999999999999, -189.00000000000003, -178.7, -247.29999999999993, -250.1999999999997, -233.89999999999995, -347.60000000000025, -317.5, -184.69999999999968, -249.60000000000002, -231.8, -367.8999999999999, -222.69999999999962, -306.8, -188.5, -228.49999999999994]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.5946945386563317,1.2150559169593464,0.07235467305687392,3.888414519936066,0.0,8233.692,485.809,3028.894,1320.614,3.291,16000,16000,16000,42.30769230769231,66.54615384615384,0.44999998807907104,9.999999747378752e-05,40.29218,-0.013908946,4029.9368,-0.0010204484,0.014939859,3.6450896,0.0
-140.3,-998.7,-275.70500000000004,99.0,40,4,20000,0,20000,False,200,5,6a04b_00000,9d1e91a93c4449bdb16fae22ea5e0250,2022-01-21_17-21-27,1642785687,8.107980728149414,43.90405774116516,73544,MAC-ATI0602,127.0.0.1,43.90405774116516,0,5,"[-996.5000000000006, -183.40000000000003, -251.09999999999994, -485.5, -432.2000000000004, -780.1, -194.10000000000002, -258.5, -929.1, -197.2999999999999, -359.10000000000014, -199.90000000000003, -145.3, -170.10000000000002, -162.69999999999965, -176.29999999999995, -226.49999999999997, -425.2, -140.3, -998.7, -203.4, -209.99999999999983, -212.3, -211.5, -194.4, -352.5999999999999, -250.9, -220.8, -267.0999999999999, -361.40000000000094, -185.69999999999987, -225.5, -590.7000000000005, -182.50000000000003, -156.60000000000002, -237.5999999999996, -184.00000000000003, -255.7, -196.5, -202.2, -345.79999999999995, -182.69999999999985, -200.59999999999985, -154.7, -422.5999999999999, -189.00000000000003, -178.7, -247.29999999999993, -250.1999999999997, -233.89999999999995, -347.60000000000025, -317.5, -184.69999999999968, -249.60000000000002, -231.8, -367.8999999999999, -222.69999999999962, -306.8, -188.5, -228.49999999999994, -207.8, -193.0, -181.4, -157.2, -168.9999999999999, -180.40000000000003, -183.4, -179.60000000000002, -189.19999999999976, -275.8, -194.5, -543.0000000000009, -178.10000000000002, -283.39999999999986, -190.89999999999992, -243.6, -305.4, -167.60000000000002, -337.6, -257.39999999999986, -350.7, -204.8999999999999, -679.4000000000004, -184.2, -179.7, -151.10000000000002, -263.3, -275.4999999999998, -395.3, -190.3, -249.39999999999984, -186.9, -328.8999999999999, -144.3, -324.69999999999993, -403.6, -213.7, -175.0, -221.9, -164.99999999999997]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.5774132054075085,1.1905413683208392,0.07136067702084131,3.842592195278317,0.0,8272.15,483.55,2950.103,1355.885,3.264,20000,20000,20000,42.69090909090909,66.35454545454546,0.44999998807907104,9.999999747378752e-05,49.285652,-0.021177469,4929.7915,-0.0003919636,0.019815654,3.5992124,0.0
-140.9,-679.4000000000004,-236.68199999999993,99.0,40,4,24000,0,24000,False,240,6,6a04b_00000,9d1e91a93c4449bdb16fae22ea5e0250,2022-01-21_17-21-36,1642785696,8.75094485282898,52.65500259399414,73544,MAC-ATI0602,127.0.0.1,52.65500259399414,0,6,"[-345.79999999999995, -182.69999999999985, -200.59999999999985, -154.7, -422.5999999999999, -189.00000000000003, -178.7, -247.29999999999993, -250.1999999999997, -233.89999999999995, -347.60000000000025, -317.5, -184.69999999999968, -249.60000000000002, -231.8, -367.8999999999999, -222.69999999999962, -306.8, -188.5, -228.49999999999994, -207.8, -193.0, -181.4, -157.2, -168.9999999999999, -180.40000000000003, -183.4, -179.60000000000002, -189.19999999999976, -275.8, -194.5, -543.0000000000009, -178.10000000000002, -283.39999999999986, -190.89999999999992, -243.6, -305.4, -167.60000000000002, -337.6, -257.39999999999986, -350.7, -204.8999999999999, -679.4000000000004, -184.2, -179.7, -151.10000000000002, -263.3, -275.4999999999998, -395.3, -190.3, -249.39999999999984, -186.9, -328.8999999999999, -144.3, -324.69999999999993, -403.6, -213.7, -175.0, -221.9, -164.99999999999997, -453.5, -154.2999999999999, -388.20000000000016, -187.7, -192.39999999999995, -282.6, -140.9, -247.09999999999988, -184.59999999999997, -183.6999999999997, -264.6999999999998, -168.00000000000003, -283.3, -212.4, -180.3, -203.9, -218.2, -215.9, -209.39999999999966, -254.7, -168.39999999999998, -156.09999999999988, -202.2, -141.4, -166.7, -188.0, -183.10000000000002, -199.69999999999968, -261.29999999999995, -160.4, -392.7, -220.7, -324.2, -191.69999999999965, -168.10000000000002, -253.69999999999956, -179.6, -156.9, -179.7, -190.59999999999985]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.5750246099642017,1.174673969568893,0.07078614993736969,3.820143278321914,0.0,8349.433,479.074,2904.856,1377.004,3.186,24000,24000,24000,43.42307692307692,66.26153846153846,0.44999998807907104,9.999999747378752e-05,25.503462,-0.01843303,2551.3035,-0.00033000633,0.019693045,3.5309596,0.0
-118.0,-679.4000000000004,-221.365,99.0,40,4,28000,0,28000,False,280,7,6a04b_00000,9d1e91a93c4449bdb16fae22ea5e0250,2022-01-21_17-21-44,1642785704,8.527361869812012,61.18236446380615,73544,MAC-ATI0602,127.0.0.1,61.18236446380615,0,7,"[-350.7, -204.8999999999999, -679.4000000000004, -184.2, -179.7, -151.10000000000002, -263.3, -275.4999999999998, -395.3, -190.3, -249.39999999999984, -186.9, -328.8999999999999, -144.3, -324.69999999999993, -403.6, -213.7, -175.0, -221.9, -164.99999999999997, -453.5, -154.2999999999999, -388.20000000000016, -187.7, -192.39999999999995, -282.6, -140.9, -247.09999999999988, -184.59999999999997, -183.6999999999997, -264.6999999999998, -168.00000000000003, -283.3, -212.4, -180.3, -203.9, -218.2, -215.9, -209.39999999999966, -254.7, -168.39999999999998, -156.09999999999988, -202.2, -141.4, -166.7, -188.0, -183.10000000000002, -199.69999999999968, -261.29999999999995, -160.4, -392.7, -220.7, -324.2, -191.69999999999965, -168.10000000000002, -253.69999999999956, -179.6, -156.9, -179.7, -190.59999999999985, -448.4, -159.4, -205.9, -211.6999999999999, -178.90000000000003, -185.49999999999986, -187.39999999999972, -149.2, -172.6, -118.0, -231.5, -182.4, -181.6, -181.0, -198.29999999999984, -164.69999999999965, -170.8999999999999, -199.7, -219.9, -236.4, -250.29999999999964, -195.9, -178.69999999999976, -167.00000000000003, -153.8, -314.1999999999998, -172.39999999999998, -157.3, -204.69999999999962, -174.1999999999999, -184.10000000000002, -230.9999999999997, -143.20000000000002, -223.39999999999978, -176.1, -288.7, -233.7, -203.40000000000003, -246.49999999999997, -255.69999999999962]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.5764260723634934,1.167004760573356,0.07071466122390489,3.825098830609044,0.0,8389.984,476.759,2860.47,1398.372,3.16,28000,28000,28000,47.475,66.18333333333334,0.44999998807907104,9.999999747378752e-05,19.427063,-0.011137266,1943.1521,-0.00015076628,0.014843625,3.5117853,0.0
-118.0,-556.5,-202.53799999999995,99.0,40,4,32000,0,32000,False,320,8,6a04b_00000,9d1e91a93c4449bdb16fae22ea5e0250,2022-01-21_17-21-53,1642785713,8.547892093658447,69.7302565574646,73544,MAC-ATI0602,127.0.0.1,69.7302565574646,0,8,"[-168.39999999999998, -156.09999999999988, -202.2, -141.4, -166.7, -188.0, -183.10000000000002, -199.69999999999968, -261.29999999999995, -160.4, -392.7, -220.7, -324.2, -191.69999999999965, -168.10000000000002, -253.69999999999956, -179.6, -156.9, -179.7, -190.59999999999985, -448.4, -159.4, -205.9, -211.6999999999999, -178.90000000000003, -185.49999999999986, -187.39999999999972, -149.2, -172.6, -118.0, -231.5, -182.4, -181.6, -181.0, -198.29999999999984, -164.69999999999965, -170.8999999999999, -199.7, -219.9, -236.4, -250.29999999999964, -195.9, -178.69999999999976, -167.00000000000003, -153.8, -314.1999999999998, -172.39999999999998, -157.3, -204.69999999999962, -174.1999999999999, -184.10000000000002, -230.9999999999997, -143.20000000000002, -223.39999999999978, -176.1, -288.7, -233.7, -203.40000000000003, -246.49999999999997, -255.69999999999962, -187.8, -174.3, -215.0, -158.70000000000002, -196.0, -199.59999999999988, -188.0, -176.50000000000003, -556.5, -182.69999999999993, -189.0, -169.4, -156.7, -185.09999999999965, -178.9999999999999, -182.00000000000003, -164.4, -197.1, -238.1, -175.59999999999997, -217.09999999999994, -157.60000000000002, -245.9, -194.99999999999994, -309.99999999999983, -188.5, -196.7, -196.19999999999982, -188.69999999999982, -162.49999999999997, -246.19999999999973, -152.2, -221.0, -180.60000000000002, -164.7, -199.89999999999995, -138.9, -201.0, -189.60000000000002, -207.1]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.5753008298165281,1.161972952449028,0.0707015004824733,3.8325913289938267,0.0,8399.308,476.23,2841.041,1407.934,3.133,32000,32000,32000,43.416666666666664,66.0,0.44999998807907104,9.999999747378752e-05,26.872969,-0.009792096,2687.682,-6.159109e-05,0.013207104,3.4572744,0.0
-138.9,-556.5,-193.11399999999998,99.0,40,4,36000,0,36000,False,360,9,6a04b_00000,9d1e91a93c4449bdb16fae22ea5e0250,2022-01-21_17-22-01,1642785721,8.461058139801025,78.19131469726562,73544,MAC-ATI0602,127.0.0.1,78.19131469726562,0,9,"[-250.29999999999964, -195.9, -178.69999999999976, -167.00000000000003, -153.8, -314.1999999999998, -172.39999999999998, -157.3, -204.69999999999962, -174.1999999999999, -184.10000000000002, -230.9999999999997, -143.20000000000002, -223.39999999999978, -176.1, -288.7, -233.7, -203.40000000000003, -246.49999999999997, -255.69999999999962, -187.8, -174.3, -215.0, -158.70000000000002, -196.0, -199.59999999999988, -188.0, -176.50000000000003, -556.5, -182.69999999999993, -189.0, -169.4, -156.7, -185.09999999999965, -178.9999999999999, -182.00000000000003, -164.4, -197.1, -238.1, -175.59999999999997, -217.09999999999994, -157.60000000000002, -245.9, -194.99999999999994, -309.99999999999983, -188.5, -196.7, -196.19999999999982, -188.69999999999982, -162.49999999999997, -246.19999999999973, -152.2, -221.0, -180.60000000000002, -164.7, -199.89999999999995, -138.9, -201.0, -189.60000000000002, -207.1, -182.70000000000005, -162.3, -180.7, -208.8, -162.60000000000002, -221.60000000000002, -187.9, -180.4, -189.3, -164.7, -167.6999999999997, -156.5, -193.90000000000003, -142.5, -203.4, -201.39999999999992, -181.3, -163.9, -192.89999999999998, -151.4, -146.2, -182.10000000000002, -160.5, -172.7, -181.3, -164.50000000000003, -175.09999999999982, -165.70000000000005, -150.4, -204.8, -204.4, -219.10000000000002, -197.09999999999988, -181.0, -166.90000000000003, -162.69999999999965, -179.19999999999987, -170.19999999999996, -188.8, -157.6]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.5720264518553015,1.1530117355630234,0.0702908498417434,3.8171046142064626,0.0,8386.039,476.983,2848.25,1404.371,3.119,36000,36000,36000,41.975,65.98333333333333,0.44999998807907104,9.999999747378752e-05,17.6628,-0.014222157,1767.1362,-3.475485e-05,0.012573838,3.4526355,0.0
-138.9,-309.99999999999983,-183.43699999999998,99.0,44,4,40000,0,40000,False,404,10,6a04b_00000,9d1e91a93c4449bdb16fae22ea5e0250,2022-01-21_17-22-10,1642785730,8.177863359451294,86.36917805671692,73544,MAC-ATI0602,127.0.0.1,86.36917805671692,0,10,"[-309.99999999999983, -188.5, -196.7, -196.19999999999982, -188.69999999999982, -162.49999999999997, -246.19999999999973, -152.2, -221.0, -180.60000000000002, -164.7, -199.89999999999995, -138.9, -201.0, -189.60000000000002, -207.1, -182.70000000000005, -162.3, -180.7, -208.8, -162.60000000000002, -221.60000000000002, -187.9, -180.4, -189.3, -164.7, -167.6999999999997, -156.5, -193.90000000000003, -142.5, -203.4, -201.39999999999992, -181.3, -163.9, -192.89999999999998, -151.4, -146.2, -182.10000000000002, -160.5, -172.7, -181.3, -164.50000000000003, -175.09999999999982, -165.70000000000005, -150.4, -204.8, -204.4, -219.10000000000002, -197.09999999999988, -181.0, -166.90000000000003, -162.69999999999965, -179.19999999999987, -170.19999999999996, -188.8, -157.6, -161.40000000000003, -206.09999999999982, -140.3, -205.69999999999965, -194.59999999999968, -146.5, -216.4, -177.0, -219.09999999999988, -178.69999999999968, -165.39999999999978, -170.3, -160.3, -193.3, -192.09999999999977, -176.10000000000002, -207.20000000000002, -180.8999999999998, -194.69999999999968, -197.1, -159.0, -154.9, -180.10000000000002, -174.60000000000002, -293.19999999999993, -179.1999999999998, -221.6, -160.7, -177.9, -172.9, -235.99999999999991, -170.10000000000002, -192.3, -149.3, -228.5, -181.10000000000002, -151.5999999999999, -176.7, -179.5, -190.39999999999978, -170.6999999999997, -157.3, -163.69999999999968, -169.20000000000002]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.5700445420749962,1.1415511135799101,0.06966687611363011,3.790883304409762,0.0,8395.215,476.462,2826.764,1415.046,3.104,40000,40000,40000,39.725,66.30000000000003,0.44999998807907104,9.999999747378752e-05,19.81512,-0.016741347,1982.4237,-1.4182242e-05,0.016947052,3.415769,0.0
