episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
-5.300000000000001,-191.4999999999997,-60.239999999999995,99.0,40,0,4000,0,4000,False,40,1,1e996_00000,7d1150db39264ebaae1ea7de12eb709d,2022-01-27_13-43-58,1643291038,19.88696002960205,19.88696002960205,14187,Myless-MBP,127.0.0.1,19.88696002960205,0,1,"[-10.2, -12.299999999999999, -5.300000000000001, -57.80000000000002, -79.6, -72.80000000000003, -20.100000000000016, -191.4999999999997, -11.5, -17.5, -176.4, -127.9, -119.6, -145.2, -87.7, -87.6, -8.7, -64.8, -94.3, -15.3, -11.4, -17.3, -9.4, -92.10000000000008, -83.7, -94.3, -78.50000000000001, -91.7, -117.4, -80.8, -55.10000000000003, -56.80000000000002, -9.599999999999998, -12.4, -21.7, -55.70000000000001, -41.2, -6.3999999999999995, -14.3, -53.70000000000001]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.5570951326880804,0.5730587492821009,0.029270901020930072,2.621821539606401,0.0,15171.435,263.653,0.416,9619963.303,4734.425,844.876,4000,4000,4000,4000,23.953571428571426,93.66785714285712,0.0,0.20000000000000004,0.00010000000000000003,9.026109228819928,0.003582994511691473,902.2110820624137,-0.06886972900359861,0.0020780109286257877,0.6910945635969921,0.0
-2.0,-191.4999999999997,-55.967499999999994,99.0,40,0,8000,0,8000,False,80,2,1e996_00000,7d1150db39264ebaae1ea7de12eb709d,2022-01-27_13-44-18,1643291058,19.81554412841797,39.70250415802002,14187,Myless-MBP,127.0.0.1,39.70250415802002,0,2,"[-10.2, -12.299999999999999, -5.300000000000001, -57.80000000000002, -79.6, -72.80000000000003, -20.100000000000016, -191.4999999999997, -11.5, -17.5, -176.4, -127.9, -119.6, -145.2, -87.7, -87.6, -8.7, -64.8, -94.3, -15.3, -11.4, -17.3, -9.4, -92.10000000000008, -83.7, -94.3, -78.50000000000001, -91.7, -117.4, -80.8, -55.10000000000003, -56.80000000000002, -9.599999999999998, -12.4, -21.7, -55.70000000000001, -41.2, -6.3999999999999995, -14.3, -53.70000000000001, -78.8, -13.599999999999998, -27.400000000000002, -76.9, -93.6, -16.3, -89.3, -34.300000000000004, -23.900000000000023, -17.3, -5.300000000000001, -40.500000000000014, -4.3, -81.8, -9.5, -97.4, -90.5, -56.800000000000026, -117.7, -12.3, -80.2, -45.600000000000016, -175.4, -5.5, -11.3, -96.5, -51.70000000000003, -8.299999999999999, -12.3, -11.499999999999996, -94.3, -42.199999999999974, -97.4, -2.0, -76.3, -80.1, -52.20000000000004, -87.5, -13.5, -36.500000000000014]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.5569808941971015,0.5712514432217035,0.029265384869294263,2.624840267410326,0.0,17552.475,227.888,0.35,11416955.427,4692.843,852.362,8000,8000,8000,8000,19.625925925925927,93.66666666666663,0.0,0.10000000000000002,0.00010000000000000003,2.253934406157663,-6.546827273503427e-05,225.2097165107727,0.018011032253183346,0.019027633963938948,0.6705036849744859,0.0
-2.0,-187.6,-53.529,99.0,41,0,12000,0,12000,False,121,3,1e996_00000,7d1150db39264ebaae1ea7de12eb709d,2022-01-27_13-44-38,1643291078,19.638391971588135,59.340896129608154,14187,Myless-MBP,127.0.0.1,59.340896129608154,0,3,"[-17.3, -9.4, -92.10000000000008, -83.7, -94.3, -78.50000000000001, -91.7, -117.4, -80.8, -55.10000000000003, -56.80000000000002, -9.599999999999998, -12.4, -21.7, -55.70000000000001, -41.2, -6.3999999999999995, -14.3, -53.70000000000001, -78.8, -13.599999999999998, -27.400000000000002, -76.9, -93.6, -16.3, -89.3, -34.300000000000004, -23.900000000000023, -17.3, -5.300000000000001, -40.500000000000014, -4.3, -81.8, -9.5, -97.4, -90.5, -56.800000000000026, -117.7, -12.3, -80.2, -45.600000000000016, -175.4, -5.5, -11.3, -96.5, -51.70000000000003, -8.299999999999999, -12.3, -11.499999999999996, -94.3, -42.199999999999974, -97.4, -2.0, -76.3, -80.1, -52.20000000000004, -87.5, -13.5, -36.500000000000014, -15.5, -13.2, -91.4, -13.4, -84.19999999999999, -94.5, -13.5, -55.50000000000002, -7.300000000000001, -88.4, -85.9, -159.0, -73.89999999999999, -5.4, -72.4, -89.8, -14.89999999999999, -32.3, -27.80000000000001, -152.2, -45.30000000000002, -58.8, -60.40000000000003, -72.1, -11.500000000000005, -10.3, -29.900000000000006, -6.4, -10.600000000000001, -3.3000000000000003, -75.80000000000001, -6.2, -37.200000000000024, -15.600000000000001, -68.2, -154.6, -82.69999999999995, -65.00000000000003, -24.100000000000062, -187.6, -76.9]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.5616084226355494,0.5666303019623727,0.029170027853585544,2.61925296856167,0.0,18252.539,219.148,0.315,12690783.661,4685.21,853.75,12000,12000,12000,12000,19.43333333333333,93.64814814814814,0.0,0.10000000000000002,0.00010000000000000003,3.9114232662995096,0.0016357116929445695,390.8356563865498,0.08348750228522926,0.01431056108835887,0.6177808179009345,0.0
-1.0,-187.6,-53.146,99.0,40,0,16000,0,16000,False,161,4,1e996_00000,7d1150db39264ebaae1ea7de12eb709d,2022-01-27_13-44-58,1643291098,19.87337017059326,79.21426630020142,14187,Myless-MBP,127.0.0.1,79.21426630020142,0,4,"[-45.600000000000016, -175.4, -5.5, -11.3, -96.5, -51.70000000000003, -8.299999999999999, -12.3, -11.499999999999996, -94.3, -42.199999999999974, -97.4, -2.0, -76.3, -80.1, -52.20000000000004, -87.5, -13.5, -36.500000000000014, -15.5, -13.2, -91.4, -13.4, -84.19999999999999, -94.5, -13.5, -55.50000000000002, -7.300000000000001, -88.4, -85.9, -159.0, -73.89999999999999, -5.4, -72.4, -89.8, -14.89999999999999, -32.3, -27.80000000000001, -152.2, -45.30000000000002, -58.8, -60.40000000000003, -72.1, -11.500000000000005, -10.3, -29.900000000000006, -6.4, -10.600000000000001, -3.3000000000000003, -75.80000000000001, -6.2, -37.200000000000024, -15.600000000000001, -68.2, -154.6, -82.69999999999995, -65.00000000000003, -24.100000000000062, -187.6, -76.9, -5.300000000000001, -15.399999999999991, -4.300000000000001, -13.7, -86.7, -14.2, -9.299999999999999, -152.7, -74.9, -72.4, -57.10000000000002, -56.50000000000003, -74.10000000000001, -1.0, -75.3, -60.5, -61.4, -82.5, -8.4, -56.70000000000001, -143.4, -27.300000000000043, -51.50000000000003, -95.4, -53.30000000000003, -80.30000000000001, -4.4, -6.399999999999999, -12.3, -14.4, -149.7, -13.5, -9.3, -87.1, -11.4, -12.399999999999999, -164.3, -5.4, -82.8, -14.5]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.5680103846107921,0.5611883820355756,0.029043924402088594,2.612796474189174,0.0,18640.081,214.591,0.295,13576545.418,4707.437,849.719,16000,16000,16000,16000,21.585714285714285,93.60357142857143,0.0,0.10000000000000002,0.00010000000000000003,2.6326358256516076,-0.012807008582017113,264.48895165125526,-0.007633943391102616,0.005533623981111026,0.6419030850292534,0.0
-1.0,-187.6,-54.76000000000001,99.0,41,0,20000,0,20000,False,202,5,1e996_00000,7d1150db39264ebaae1ea7de12eb709d,2022-01-27_13-45-17,1643291117,19.687225103378296,98.90149140357971,14187,Myless-MBP,127.0.0.1,98.90149140357971,0,5,"[-60.40000000000003, -72.1, -11.500000000000005, -10.3, -29.900000000000006, -6.4, -10.600000000000001, -3.3000000000000003, -75.80000000000001, -6.2, -37.200000000000024, -15.600000000000001, -68.2, -154.6, -82.69999999999995, -65.00000000000003, -24.100000000000062, -187.6, -76.9, -5.300000000000001, -15.399999999999991, -4.300000000000001, -13.7, -86.7, -14.2, -9.299999999999999, -152.7, -74.9, -72.4, -57.10000000000002, -56.50000000000003, -74.10000000000001, -1.0, -75.3, -60.5, -61.4, -82.5, -8.4, -56.70000000000001, -143.4, -27.300000000000043, -51.50000000000003, -95.4, -53.30000000000003, -80.30000000000001, -4.4, -6.399999999999999, -12.3, -14.4, -149.7, -13.5, -9.3, -87.1, -11.4, -12.399999999999999, -164.3, -5.4, -82.8, -14.5, -173.4, -86.5, -109.1000000000002, -36.20000000000001, -32.70000000000002, -8.3, -110.80000000000015, -78.1, -5.4, -10.2, -41.0, -14.3, -95.4, -84.9, -72.9, -9.2, -13.799999999999999, -112.7, -158.0, -23.800000000000033, -8.299999999999999, -11.3, -74.9, -44.49999999999996, -6.5, -43.700000000000024, -96.4, -4.2, -154.1, -15.600000000000001, -11.5, -7.4, -95.4, -86.7, -69.7, -92.7, -4.300000000000001, -16.4, -169.4, -96.3, -70.10000000000002]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.5732211770387802,0.5568558932588017,0.02894001199806482,2.6076086200397555,0.0,18876.931,211.899,0.286,13983343.891,4700.359,850.999,20000,20000,20000,20000,20.444444444444443,93.58518518518518,0.0,0.10000000000000002,0.00010000000000000003,4.122552383164825,0.007027668536951145,411.4800810044812,-0.10886021814038677,0.007240164882144023,0.6602925124988761,0.0
-3.3,-187.3,-53.644000000000005,99.0,40,0,24000,0,24000,False,242,6,1e996_00000,7d1150db39264ebaae1ea7de12eb709d,2022-01-27_13-45-37,1643291137,19.75232195854187,118.65381336212158,14187,Myless-MBP,127.0.0.1,118.65381336212158,0,6,"[-27.300000000000043, -51.50000000000003, -95.4, -53.30000000000003, -80.30000000000001, -4.4, -6.399999999999999, -12.3, -14.4, -149.7, -13.5, -9.3, -87.1, -11.4, -12.399999999999999, -164.3, -5.4, -82.8, -14.5, -173.4, -86.5, -109.1000000000002, -36.20000000000001, -32.70000000000002, -8.3, -110.80000000000015, -78.1, -5.4, -10.2, -41.0, -14.3, -95.4, -84.9, -72.9, -9.2, -13.799999999999999, -112.7, -158.0, -23.800000000000033, -8.299999999999999, -11.3, -74.9, -44.49999999999996, -6.5, -43.700000000000024, -96.4, -4.2, -154.1, -15.600000000000001, -11.5, -7.4, -95.4, -86.7, -69.7, -92.7, -4.300000000000001, -16.4, -169.4, -96.3, -70.10000000000002, -32.60000000000001, -80.7, -108.00000000000013, -9.3, -70.30000000000001, -43.19999999999991, -10.3, -89.3, -24.500000000000004, -6.2, -20.300000000000015, -78.7, -165.7, -60.800000000000004, -104.50000000000003, -73.9, -15.4, -18.6, -7.4, -79.60000000000001, -8.3, -36.89999999999993, -42.80000000000001, -38.90000000000003, -187.3, -24.899999999999956, -3.3, -54.90000000000003, -12.4, -10.700000000000001, -95.4, -83.29999999999997, -59.5, -26.70000000000001, -15.3, -38.500000000000014, -6.199999999999999, -45.7, -97.3, -25.000000000000057]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.5757423820464327,0.5546651206520996,0.028884190139365443,2.60390660455558,0.0,19009.003,210.427,0.281,14224006.783,4714.806,848.391,24000,24000,24000,24000,19.94074074074074,93.56296296296296,0.0,0.10000000000000002,0.00010000000000000003,2.55883329302393,-0.0037527640690646503,256.2432447371944,0.09400094324542631,0.0015366450433338425,0.6698610771086908,0.0
-3.2,-187.3,-54.943000000000005,99.0,40,0,28000,0,28000,False,282,7,1e996_00000,7d1150db39264ebaae1ea7de12eb709d,2022-01-27_13-47-18,1643291238,100.74022912979126,219.39404249191284,14187,Myless-MBP,127.0.0.1,219.39404249191284,0,7,"[-11.3, -74.9, -44.49999999999996, -6.5, -43.700000000000024, -96.4, -4.2, -154.1, -15.600000000000001, -11.5, -7.4, -95.4, -86.7, -69.7, -92.7, -4.300000000000001, -16.4, -169.4, -96.3, -70.10000000000002, -32.60000000000001, -80.7, -108.00000000000013, -9.3, -70.30000000000001, -43.19999999999991, -10.3, -89.3, -24.500000000000004, -6.2, -20.300000000000015, -78.7, -165.7, -60.800000000000004, -104.50000000000003, -73.9, -15.4, -18.6, -7.4, -79.60000000000001, -8.3, -36.89999999999993, -42.80000000000001, -38.90000000000003, -187.3, -24.899999999999956, -3.3, -54.90000000000003, -12.4, -10.700000000000001, -95.4, -83.29999999999997, -59.5, -26.70000000000001, -15.3, -38.500000000000014, -6.199999999999999, -45.7, -97.3, -25.000000000000057, -75.40000000000002, -91.8, -8.3, -85.4, -53.200000000000045, -7.3, -54.50000000000001, -148.3, -68.9, -73.80000000000001, -15.3, -56.60000000000003, -95.30000000000014, -32.29999999999999, -56.2, -174.4, -70.60000000000001, -50.10000000000004, -14.4, -22.30000000000001, -89.8, -10.5, -91.4, -29.1000000000001, -3.2, -33.40000000000005, -84.60000000000001, -83.0, -31.500000000000007, -95.4, -57.09999999999998, -60.6, -76.7, -15.099999999999973, -10.4, -70.8, -10.4, -13.4, -12.2, -177.6]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.5841305430438376,0.5554666753806571,0.02892489002132384,3.7322604901034366,0.0,19262.469,207.658,0.274,14581637.944,4877.652,820.067,28000,28000,28000,28000,41.279310344827586,93.93103448275862,0.0,0.05000000000000001,0.00010000000000000003,3.547029196167545,-0.009440993382445266,355.5542399785852,-0.011736621202961092,0.018557349888734167,0.6385247397807337,0.0
-3.2,-187.3,-59.727,99.0,41,0,32000,0,32000,False,323,8,1e996_00000,7d1150db39264ebaae1ea7de12eb709d,2022-01-27_13-47-40,1643291260,21.841217041015625,241.23525953292847,14187,Myless-MBP,127.0.0.1,241.23525953292847,0,8,"[-36.89999999999993, -42.80000000000001, -38.90000000000003, -187.3, -24.899999999999956, -3.3, -54.90000000000003, -12.4, -10.700000000000001, -95.4, -83.29999999999997, -59.5, -26.70000000000001, -15.3, -38.500000000000014, -6.199999999999999, -45.7, -97.3, -25.000000000000057, -75.40000000000002, -91.8, -8.3, -85.4, -53.200000000000045, -7.3, -54.50000000000001, -148.3, -68.9, -73.80000000000001, -15.3, -56.60000000000003, -95.30000000000014, -32.29999999999999, -56.2, -174.4, -70.60000000000001, -50.10000000000004, -14.4, -22.30000000000001, -89.8, -10.5, -91.4, -29.1000000000001, -3.2, -33.40000000000005, -84.60000000000001, -83.0, -31.500000000000007, -95.4, -57.09999999999998, -60.6, -76.7, -15.099999999999973, -10.4, -70.8, -10.4, -13.4, -12.2, -177.6, -90.8, -72.60000000000001, -36.499999999999986, -31.500000000000007, -77.9, -85.4, -12.2, -14.3, -28.500000000000007, -94.2, -92.7, -18.3, -33.59999999999997, -90.6, -65.20000000000003, -119.9, -88.6, -101.19999999999986, -85.4, -37.39999999999999, -95.2, -88.6, -41.20000000000001, -157.3, -14.5, -39.599999999999966, -83.1, -67.2, -15.4, -29.100000000000005, -4.4, -48.60000000000001, -16.4, -28.700000000000006, -74.80000000000001, -79.0, -89.4, -183.8, -154.4, -82.7, -86.9]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.5964270248158359,0.5619387184687503,0.02910402089012103,4.752470955804983,0.0,19648.871,203.574,0.278,14407227.136,4945.047,808.89,32000,32000,32000,32000,40.17666666666666,94.51,0.0,0.05000000000000001,0.00010000000000000003,3.510577149759297,-0.001303311429357016,351.1159400242631,0.09122390759888516,0.014422699871682576,0.5826452825659065,0.0
-3.2,-185.3,-62.793,99.0,40,0,36000,0,36000,False,363,9,1e996_00000,7d1150db39264ebaae1ea7de12eb709d,2022-01-27_13-48-00,1643291280,19.67194104194641,260.9072005748749,14187,Myless-MBP,127.0.0.1,260.9072005748749,0,9,"[-10.5, -91.4, -29.1000000000001, -3.2, -33.40000000000005, -84.60000000000001, -83.0, -31.500000000000007, -95.4, -57.09999999999998, -60.6, -76.7, -15.099999999999973, -10.4, -70.8, -10.4, -13.4, -12.2, -177.6, -90.8, -72.60000000000001, -36.499999999999986, -31.500000000000007, -77.9, -85.4, -12.2, -14.3, -28.500000000000007, -94.2, -92.7, -18.3, -33.59999999999997, -90.6, -65.20000000000003, -119.9, -88.6, -101.19999999999986, -85.4, -37.39999999999999, -95.2, -88.6, -41.20000000000001, -157.3, -14.5, -39.599999999999966, -83.1, -67.2, -15.4, -29.100000000000005, -4.4, -48.60000000000001, -16.4, -28.700000000000006, -74.80000000000001, -79.0, -89.4, -183.8, -154.4, -82.7, -86.9, -170.59999999999977, -55.30000000000002, -69.00000000000003, -20.3, -45.3, -21.4, -33.400000000000055, -42.19999999999991, -31.60000000000001, -9.3, -36.80000000000001, -29.60000000000002, -18.9, -27.300000000000004, -11.3, -67.30000000000001, -18.4, -90.8, -125.0, -59.40000000000002, -106.30000000000001, -158.3, -56.40000000000003, -85.4, -35.09999999999997, -94.4, -35.29999999999993, -14.5, -64.4, -29.5, -157.8, -82.09999999999998, -72.30000000000001, -45.400000000000006, -158.7, -12.4, -185.3, -10.5, -61.700000000000024, -106.80000000000003]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.6033647978824821,0.5671412346942257,0.029195993657396085,5.042636044432727,0.0,19735.172,202.684,0.29,13803358.991,4917.808,813.371,36000,36000,36000,36000,21.29259259259259,94.28518518518518,0.0,0.05000000000000001,0.00010000000000000003,3.281993526396572,-0.006642692630249326,328.843800797001,-0.046929762055796964,0.003965644185470031,0.581665930568531,0.0
-3.2,-197.4,-61.123999999999995,99.0,41,0,40000,0,40000,False,404,10,1e996_00000,7d1150db39264ebaae1ea7de12eb709d,2022-01-27_13-48-19,1643291299,19.749916076660156,280.65711665153503,14187,Myless-MBP,127.0.0.1,280.65711665153503,0,10,"[-41.20000000000001, -157.3, -14.5, -39.599999999999966, -83.1, -67.2, -15.4, -29.100000000000005, -4.4, -48.60000000000001, -16.4, -28.700000000000006, -74.80000000000001, -79.0, -89.4, -183.8, -154.4, -82.7, -86.9, -170.59999999999977, -55.30000000000002, -69.00000000000003, -20.3, -45.3, -21.4, -33.400000000000055, -42.19999999999991, -31.60000000000001, -9.3, -36.80000000000001, -29.60000000000002, -18.9, -27.300000000000004, -11.3, -67.30000000000001, -18.4, -90.8, -125.0, -59.40000000000002, -106.30000000000001, -158.3, -56.40000000000003, -85.4, -35.09999999999997, -94.4, -35.29999999999993, -14.5, -64.4, -29.5, -157.8, -82.09999999999998, -72.30000000000001, -45.400000000000006, -158.7, -12.4, -185.3, -10.5, -61.700000000000024, -106.80000000000003, -131.10000000000002, -170.9, -4.4, -94.3, -89.60000000000002, -32.99999999999995, -79.4, -58.6, -55.10000000000002, -138.3, -59.99999999999993, -4.4, -54.70000000000003, -12.4, -42.20000000000003, -17.3, -127.30000000000001, -18.09999999999999, -3.2, -107.7, -58.4, -45.59999999999994, -8.4, -52.60000000000004, -27.3, -57.40000000000004, -34.19999999999994, -21.1, -10.3, -42.40000000000001, -7.299999999999999, -197.4, -43.40000000000001, -115.5, -7.4, -58.4, -12.4, -4.3, -8.3, -59.10000000000001, -86.9]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.6037605752472588,0.5685042440820081,0.02912757538956945,4.771556049814048,0.0,19732.748,202.709,0.286,13991506.964,4903.424,815.757,40000,40000,40000,40000,27.414814814814818,94.24074074074075,0.0,0.025000000000000005,0.00010000000000000003,3.6581813884678707,0.006443831470534606,365.1561559328469,0.07612165340813257,0.0070423483911264345,0.54773617864296,0.0
