episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
-15.699999999999998,-89.69999999999999,-61.42211538461538,19.0,208,4,4000,0,4000,False,208,1,95660_00000,32ace7b8de28480d909e413ab0527841,2022-01-18_18-30-05,1642530605,9.654501914978027,9.654501914978027,99136,MAC-ATI0602,127.0.0.1,9.654501914978027,0,1,"[-84.7, -87.2, -50.7, -83.2, -26.700000000000003, -84.69999999999999, -84.69999999999999, -84.69999999999999, -31.700000000000003, -85.6, -83.0, -85.69999999999999, -85.8, -79.69999999999999, -32.7, -38.7, -85.69999999999999, -87.8, -79.69999999999999, -86.69999999999999, -84.3, -83.0, -29.299999999999997, -21.700000000000003, -82.69999999999999, -83.69999999999999, -85.3, -80.69999999999999, -62.8, -88.0, -24.700000000000003, -76.7, -34.0, -74.8, -61.7, -42.7, -30.70000000000001, -83.4, -37.7, -59.6, -36.4, -31.700000000000003, -83.69999999999999, -85.69999999999999, -35.7, -32.6, -76.7, -76.69999999999999, -28.70000000000001, -76.7, -49.5, -77.4, -51.7, -37.2, -82.2, -33.70000000000001, -33.7, -82.69999999999999, -83.2, -80.69999999999999, -84.69999999999999, -83.2, -85.6, -76.69999999999999, -55.7, -72.7, -33.5, -82.5, -83.69999999999999, -82.69999999999999, -27.700000000000003, -33.7, -28.700000000000006, -84.69999999999999, -30.700000000000006, -27.700000000000006, -78.69999999999999, -57.6, -89.69999999999999, -35.7, -83.69999999999999, -21.700000000000003, -37.6, -84.69999999999999, -85.7, -56.7, -84.4, -58.7, -84.2, -77.69999999999999, -80.69999999999999, -29.700000000000003, -34.7, -83.9, -80.69999999999999, -30.0, -37.6, -33.7, -34.3, -84.8, -37.2, -84.69999999999999, -78.69999999999999, -37.7, -32.7, -86.69999999999999, -29.700000000000006, -84.69999999999999, -84.69999999999999, -21.700000000000003, -79.6, -58.6, -86.5, -86.69999999999999, -79.69999999999999, -31.700000000000006, -85.69999999999999, -23.700000000000003, -85.69999999999999, -83.69999999999999, -86.69999999999999, -83.69999999999999, -31.700000000000006, -58.6, -85.69999999999999, -88.7, -55.6, -85.1, -73.7, -23.5, -26.099999999999998, -35.7, -82.4, -79.7, -25.600000000000005, -76.69999999999999, -30.700000000000006, -33.400000000000006, -74.7, -82.2, -33.2, -81.69999999999999, -80.5, -83.69999999999999, -29.5, -37.9, -24.700000000000003, -37.7, -75.7, -34.7, -88.6, -88.5, -84.5, -43.7, -76.1, -62.3, -81.69999999999999, -37.70000000000001, -80.9, -36.7, -77.1, -27.700000000000006, -20.7, -77.69999999999999, -81.2, -32.70000000000001, -36.2, -75.7, -82.2, -34.5, -85.8, -30.700000000000006, -88.8, -58.2, -79.69999999999999, -34.7, -31.700000000000003, -80.69999999999999, -83.69999999999999, -77.69999999999999, -61.2, -79.69999999999999, -86.2, -34.5, -81.69999999999999, -54.7, -15.699999999999998, -37.7, -33.4, -36.7, -78.8, -86.69999999999999, -84.4, -86.3, -32.6, -73.7, -35.7, -31.700000000000006, -82.69999999999999, -37.7, -32.6, -84.69999999999999, -59.7, -34.7, -28.700000000000006, -83.3, -74.3, -33.7]","[19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]",2.1292196287141816,1.2319372607754187,0.08779907083654259,4.0659585913697205,0.0,7683.058,520.626,0.34,11765228.612,1961.361,2039.4,2.366,4000,4000,4000,4000,44.29285714285714,61.200000000000024,0.20000000298023224,9.999999747378752e-05,1921.8652,-0.016152758,1921.8766,-0.009800613,0.023184914,3.6908019,0.0
-14.699999999999998,-88.69999999999999,-57.17830188679245,19.0,212,4,8000,0,8000,False,420,2,95660_00000,32ace7b8de28480d909e413ab0527841,2022-01-18_18-30-14,1642530614,9.50265908241272,19.157160997390747,99136,MAC-ATI0602,127.0.0.1,19.157160997390747,0,2,"[-84.69999999999999, -21.700000000000003, -60.7, -82.69999999999999, -77.69999999999999, -22.700000000000006, -28.700000000000006, -76.3, -83.6, -81.69999999999999, -80.8, -48.3, -35.7, -32.7, -29.700000000000006, -80.69999999999999, -30.700000000000003, -78.69999999999999, -22.700000000000003, -30.700000000000006, -70.7, -30.700000000000006, -82.4, -78.69999999999999, -27.700000000000006, -80.2, -21.700000000000006, -36.7, -82.69999999999999, -34.7, -51.3, -37.5, -80.69999999999999, -78.69999999999999, -72.69999999999999, -31.700000000000006, -71.7, -32.70000000000001, -41.7, -83.69999999999999, -85.69999999999999, -55.7, -84.4, -26.700000000000006, -74.7, -82.69999999999999, -23.700000000000006, -33.7, -88.69999999999999, -77.69999999999999, -82.69999999999999, -26.700000000000006, -79.69999999999999, -78.4, -86.69999999999999, -73.7, -83.69999999999999, -75.6, -37.7, -61.7, -32.7, -35.199999999999996, -30.700000000000003, -76.69999999999999, -82.7, -35.7, -85.69999999999999, -25.700000000000003, -28.700000000000006, -23.700000000000003, -63.7, -76.69999999999999, -32.7, -60.4, -83.69999999999999, -82.69999999999999, -81.69999999999999, -81.69999999999999, -58.7, -83.69999999999999, -25.700000000000006, -79.69999999999999, -84.69999999999999, -37.70000000000001, -75.7, -35.0, -34.7, -31.700000000000006, -35.7, -80.69999999999999, -79.69999999999999, -86.69999999999999, -41.9, -82.69999999999999, -33.099999999999994, -77.69999999999999, -81.69999999999999, -74.7, -59.9, -77.69999999999999, -59.7, -79.69999999999999, -25.700000000000006, -25.700000000000003, -87.7, -42.2, -87.7, -84.69999999999999, -75.7, -36.7, -32.7, -79.69999999999999, -59.7, -38.099999999999994, -34.7, -32.7, -37.7, -28.4, -76.7, -54.7, -28.700000000000006, -33.7, -62.3, -82.69999999999999, -82.69999999999999, -81.69999999999999, -84.69999999999999, -34.7, -31.3, -21.700000000000003, -42.2, -37.7, -60.7, -18.7, -35.7, -32.7, -56.7, -33.7, -33.7, -75.7, -23.700000000000003, -31.2, -79.69999999999999, -81.69999999999999, -82.9, -78.5, -26.700000000000006, -85.69999999999999, -82.5, -14.699999999999998, -83.69999999999999, -36.7, -85.69999999999999, -29.700000000000006, -35.7, -80.6, -32.5, -25.700000000000006, -83.2, -34.7, -32.3, -19.4, -85.69999999999999, -83.69999999999999, -34.5, -58.7, -83.69999999999999, -81.4, -83.4, -85.9, -79.69999999999999, -81.69999999999999, -75.7, -74.7, -31.2, -85.69999999999999, -35.7, -33.60000000000001, -34.7, -81.69999999999999, -73.7, -78.69999999999999, -58.7, -22.700000000000006, -83.3, -59.6, -27.700000000000003, -33.7, -83.69999999999999, -76.69999999999999, -32.5, -83.69999999999999, -27.9, -82.69999999999999, -83.69999999999999, -33.9, -55.7, -82.69999999999999, -16.7, -29.700000000000006, -84.69999999999999, -61.7, -56.6, -28.7, -86.69999999999999, -32.7, -34.7, -33.7, -81.69999999999999, -35.7, -77.19999999999999, -28.700000000000003]","[19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]",2.221810168352561,1.2033923395510497,0.08654665911215534,3.9956443968681863,0.0,8676.433,461.019,0.371,10796149.292,1896.581,2109.058,2.039,8000,8000,8000,8000,43.73571428571428,61.178571428571445,0.30000001192092896,9.999999747378752e-05,967.653,-0.01640997,967.66315,-0.00523849,0.020898815,3.6646936,0.0
-18.7,-89.69999999999999,-54.330769230769235,19.0,208,4,12000,0,12000,True,628,3,95660_00000,32ace7b8de28480d909e413ab0527841,2022-01-18_18-30-24,1642530624,9.432928085327148,28.590089082717896,99136,MAC-ATI0602,127.0.0.1,28.590089082717896,0,3,"[-31.700000000000006, -77.3, -74.2, -37.199999999999996, -83.8, -81.69999999999999, -31.700000000000006, -25.700000000000006, -31.3, -57.7, -37.9, -27.70000000000001, -80.0, -36.7, -78.69999999999999, -58.7, -82.69999999999999, -76.4, -36.7, -81.69999999999999, -33.6, -35.4, -65.7, -77.5, -28.6, -74.3, -26.700000000000003, -80.69999999999999, -82.69999999999999, -61.7, -32.7, -23.8, -28.700000000000006, -34.7, -84.69999999999999, -30.700000000000006, -27.700000000000006, -20.700000000000003, -35.7, -22.700000000000003, -27.700000000000006, -24.700000000000003, -84.69999999999999, -82.8, -83.69999999999999, -59.2, -58.7, -40.7, -27.700000000000003, -33.0, -35.7, -82.69999999999999, -25.700000000000003, -73.7, -72.7, -33.7, -78.4, -77.69999999999999, -33.6, -84.69999999999999, -35.7, -82.69999999999999, -80.69999999999999, -34.400000000000006, -75.4, -64.7, -81.5, -79.6, -81.69999999999999, -59.6, -80.4, -83.69999999999999, -84.69999999999999, -49.7, -34.7, -73.5, -81.69999999999999, -33.7, -35.7, -57.6, -27.1, -35.70000000000001, -18.700000000000003, -32.5, -57.7, -70.69999999999999, -67.8, -24.700000000000006, -51.2, -36.7, -76.69999999999999, -86.69999999999999, -84.69999999999999, -81.0, -32.70000000000001, -22.700000000000003, -34.6, -33.7, -83.69999999999999, -81.69999999999999, -32.7, -33.7, -34.7, -35.7, -50.699999999999996, -37.3, -84.6, -21.700000000000003, -83.69999999999999, -31.700000000000006, -30.0, -24.2, -81.69999999999999, -89.69999999999999, -30.700000000000006, -26.700000000000003, -82.5, -26.0, -85.69999999999999, -27.700000000000006, -49.7, -33.7, -75.7, -75.7, -85.0, -35.7, -79.69999999999999, -85.69999999999999, -79.69999999999999, -33.7, -75.7, -28.700000000000006, -32.6, -78.69999999999999, -57.7, -57.7, -84.69999999999999, -86.69999999999999, -76.69999999999999, -84.69999999999999, -29.0, -76.69999999999999, -31.700000000000006, -29.700000000000003, -74.7, -37.8, -34.7, -84.69999999999999, -82.69999999999999, -84.3, -31.700000000000006, -36.7, -79.69999999999999, -32.7, -76.69999999999999, -84.69999999999999, -73.4, -76.69999999999999, -42.1, -35.7, -27.700000000000006, -54.7, -37.2, -85.69999999999999, -84.3, -78.69999999999999, -19.700000000000003, -84.69999999999999, -31.9, -35.7, -34.7, -52.7, -81.69999999999999, -32.7, -30.70000000000001, -85.69999999999999, -57.4, -84.69999999999999, -22.700000000000006, -33.7, -33.7, -70.7, -18.7, -82.69999999999999, -27.3, -80.69999999999999, -23.3, -80.69999999999999, -34.70000000000001, -32.7, -81.69999999999999, -36.70000000000001, -31.700000000000006, -85.69999999999999, -84.3, -36.7, -80.9, -77.3, -33.7, -40.7, -18.7, -31.700000000000006, -85.2, -32.7, -26.700000000000006, -32.7, -33.7, -29.700000000000006]","[19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19, 19]",2.2122293700777815,1.1982452428487886,0.0860852743935005,3.9835938689153374,0.0,8939.696,447.443,0.345,11607852.399,1871.037,2137.852,2.007,12000,12000,12000,12000,44.0,61.10000000000001,0.44999998807907104,9.999999747378752e-05,645.02905,-0.018810662,645.04236,-0.003347057,0.012196483,3.6378388,0.0
