episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,timesteps_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,info/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
-134.9,-1144.7000000000003,-363.13000000000005,99.0,40,0,4000,0,4000,False,40,1,61a39_00000,fa5281b6df9d41fa84f7769d0f97e113,2022-01-24_12-45-06,1643028306,19.712764739990234,19.712764739990234,6197,MAC-ATI0602,127.0.0.1,19.712764739990234,0,1,"[-193.9, -356.79999999999984, -543.7000000000014, -232.6, -441.5, -609.2, -200.6, -291.8999999999998, -390.2, -422.6, -174.79999999999984, -200.00000000000003, -447.30000000000035, -287.4, -1144.7000000000003, -170.2999999999999, -657.2, -173.3, -224.89999999999975, -291.0999999999999, -198.5, -175.3, -193.09999999999974, -239.5999999999996, -1082.2, -849.7000000000014, -152.8, -419.69999999999993, -638.7, -204.7999999999997, -391.6, -198.2, -134.9, -204.8, -229.9, -152.6, -384.9, -172.5, -577.1999999999999, -470.2]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.47081674643976335,0.9999204295720199,0.06854251097870064,2.9022782422756737,0.0,17801.94,224.695,0.222,18020640.172,1909.253,2095.06,4000,4000,4000,4000,23.42068965517242,64.82758620689657,0.20000000298023224,9.999999747378752e-05,236.38495,-0.018917674,23639.896,-0.0020419261,0.0245161,3.6892133,0.0
-134.9,-1144.7000000000003,-377.77375,99.0,40,0,8000,0,8000,False,80,2,61a39_00000,fa5281b6df9d41fa84f7769d0f97e113,2022-01-24_12-45-23,1643028323,17.314571142196655,37.02733588218689,6197,MAC-ATI0602,127.0.0.1,37.02733588218689,0,2,"[-193.9, -356.79999999999984, -543.7000000000014, -232.6, -441.5, -609.2, -200.6, -291.8999999999998, -390.2, -422.6, -174.79999999999984, -200.00000000000003, -447.30000000000035, -287.4, -1144.7000000000003, -170.2999999999999, -657.2, -173.3, -224.89999999999975, -291.0999999999999, -198.5, -175.3, -193.09999999999974, -239.5999999999996, -1082.2, -849.7000000000014, -152.8, -419.69999999999993, -638.7, -204.7999999999997, -391.6, -198.2, -134.9, -204.8, -229.9, -152.6, -384.9, -172.5, -577.1999999999999, -470.2, -257.6, -244.89999999999992, -438.9, -986.2, -487.5, -678.3000000000004, -555.3, -168.8, -701.2000000000006, -803.5, -149.4, -241.89999999999998, -272.79999999999967, -205.20000000000002, -198.3, -180.20000000000002, -712.5, -498.5000000000002, -442.5999999999999, -507.2000000000002, -289.1999999999997, -1036.8999999999999, -410.3000000000001, -432.6000000000003, -468.6, -838.7, -266.5, -197.0, -164.9999999999999, -163.70000000000002, -239.39999999999995, -558.7, -330.49999999999983, -367.5999999999999, -135.40000000000003, -219.99999999999986, -276.39999999999986, -221.4, -156.60000000000002, -191.39999999999995]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.46340060182573584,0.9756178997996949,0.06643820088876115,2.8018306866801743,0.0,17690.979,226.104,0.216,18477110.132,1793.205,2230.642,8000,8000,8000,8000,20.945833333333333,64.82916666666667,0.30000001192092896,9.999999747378752e-05,297.65048,-0.014941114,29765.91,-0.0015041305,0.02113869,3.651336,0.0
-134.9,-1082.2,-334.81600000000003,99.0,41,0,12000,0,12000,False,121,3,61a39_00000,fa5281b6df9d41fa84f7769d0f97e113,2022-01-24_12-45-44,1643028344,20.615939140319824,57.643275022506714,6197,MAC-ATI0602,127.0.0.1,57.643275022506714,0,3,"[-175.3, -193.09999999999974, -239.5999999999996, -1082.2, -849.7000000000014, -152.8, -419.69999999999993, -638.7, -204.7999999999997, -391.6, -198.2, -134.9, -204.8, -229.9, -152.6, -384.9, -172.5, -577.1999999999999, -470.2, -257.6, -244.89999999999992, -438.9, -986.2, -487.5, -678.3000000000004, -555.3, -168.8, -701.2000000000006, -803.5, -149.4, -241.89999999999998, -272.79999999999967, -205.20000000000002, -198.3, -180.20000000000002, -712.5, -498.5000000000002, -442.5999999999999, -507.2000000000002, -289.1999999999997, -1036.8999999999999, -410.3000000000001, -432.6000000000003, -468.6, -838.7, -266.5, -197.0, -164.9999999999999, -163.70000000000002, -239.39999999999995, -558.7, -330.49999999999983, -367.5999999999999, -135.40000000000003, -219.99999999999986, -276.39999999999986, -221.4, -156.60000000000002, -191.39999999999995, -483.7000000000014, -188.8, -174.0, -165.5, -228.0, -305.3, -345.5, -515.3000000000002, -197.9, -216.10000000000002, -201.5, -182.1, -205.9, -179.3, -150.80000000000004, -194.20000000000002, -183.6999999999998, -179.3, -242.2, -181.80000000000004, -237.4, -282.7, -208.1, -225.59999999999988, -200.69999999999962, -179.69999999999982, -460.60000000000144, -478.20000000000016, -183.4, -210.79999999999978, -588.6, -190.2, -222.60000000000002, -329.2, -311.6, -273.6, -524.2, -270.6999999999998, -443.8999999999999, -182.8, -186.7]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.467384438626748,0.9730671368190761,0.0660483783553986,2.7849524769012213,0.0,18589.449,215.176,0.248,16111282.971,1837.667,2176.673,12000,12000,12000,12000,24.510344827586206,65.05172413793105,0.44999998807907104,9.999999747378752e-05,82.635155,-0.015112701,8264.202,-0.00060582696,0.018332286,3.6217804,0.0
-135.40000000000003,-1036.8999999999999,-266.763,99.0,40,0,16000,0,16000,False,161,4,61a39_00000,fa5281b6df9d41fa84f7769d0f97e113,2022-01-24_12-46-01,1643028361,17.652910947799683,75.2961859703064,6197,MAC-ATI0602,127.0.0.1,75.2961859703064,0,4,"[-1036.8999999999999, -410.3000000000001, -432.6000000000003, -468.6, -838.7, -266.5, -197.0, -164.9999999999999, -163.70000000000002, -239.39999999999995, -558.7, -330.49999999999983, -367.5999999999999, -135.40000000000003, -219.99999999999986, -276.39999999999986, -221.4, -156.60000000000002, -191.39999999999995, -483.7000000000014, -188.8, -174.0, -165.5, -228.0, -305.3, -345.5, -515.3000000000002, -197.9, -216.10000000000002, -201.5, -182.1, -205.9, -179.3, -150.80000000000004, -194.20000000000002, -183.6999999999998, -179.3, -242.2, -181.80000000000004, -237.4, -282.7, -208.1, -225.59999999999988, -200.69999999999962, -179.69999999999982, -460.60000000000144, -478.20000000000016, -183.4, -210.79999999999978, -588.6, -190.2, -222.60000000000002, -329.2, -311.6, -273.6, -524.2, -270.6999999999998, -443.8999999999999, -182.8, -186.7, -244.7, -257.8, -210.8, -183.20000000000002, -172.69999999999982, -163.3, -237.7, -196.49999999999991, -218.4, -481.4, -191.2, -178.3, -152.5, -168.2, -158.8, -205.7, -202.8, -186.3, -189.7, -308.3, -137.8, -181.2, -177.10000000000002, -178.9999999999999, -284.6, -463.4, -689.9, -145.4, -211.9, -208.19999999999993, -323.9, -202.2, -182.8, -187.20000000000002, -273.6, -151.1, -218.29999999999993, -197.19999999999993, -192.5, -171.8]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.4680956289784901,0.970241402759048,0.06536986053219447,2.7583542546588107,0.0,18329.763,218.224,0.294,13593045.169,1890.594,2115.737,16000,16000,16000,16000,19.72,64.824,0.44999998807907104,9.999999747378752e-05,40.855072,-0.009461232,4085.8035,-0.0008849363,0.014438748,3.6135416,0.0
-137.8,-794.0,-247.64700000000002,99.0,41,0,20000,0,20000,False,202,5,61a39_00000,fa5281b6df9d41fa84f7769d0f97e113,2022-01-24_12-46-19,1643028379,17.90497589111328,93.20116186141968,6197,MAC-ATI0602,127.0.0.1,93.20116186141968,0,5,"[-208.1, -225.59999999999988, -200.69999999999962, -179.69999999999982, -460.60000000000144, -478.20000000000016, -183.4, -210.79999999999978, -588.6, -190.2, -222.60000000000002, -329.2, -311.6, -273.6, -524.2, -270.6999999999998, -443.8999999999999, -182.8, -186.7, -244.7, -257.8, -210.8, -183.20000000000002, -172.69999999999982, -163.3, -237.7, -196.49999999999991, -218.4, -481.4, -191.2, -178.3, -152.5, -168.2, -158.8, -205.7, -202.8, -186.3, -189.7, -308.3, -137.8, -181.2, -177.10000000000002, -178.9999999999999, -284.6, -463.4, -689.9, -145.4, -211.9, -208.19999999999993, -323.9, -202.2, -182.8, -187.20000000000002, -273.6, -151.1, -218.29999999999993, -197.19999999999993, -192.5, -171.8, -199.20000000000002, -165.4, -169.29999999999967, -158.4, -166.9, -180.3, -637.6, -198.39999999999992, -401.8, -269.9, -191.5, -187.3, -389.4, -794.0, -158.8, -381.2, -309.4, -172.19999999999993, -194.20000000000002, -191.5, -168.99999999999991, -148.8, -182.8, -178.5, -172.3, -159.5, -176.3, -189.7, -145.40000000000003, -227.7, -172.39999999999998, -660.8, -206.29999999999998, -174.5, -169.69999999999987, -176.8, -165.90000000000003, -145.60000000000002, -173.29999999999978, -155.69999999999973, -538.4]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.465740698365069,0.9653853528877534,0.06466909479562959,2.7318658643087796,0.0,18264.148,219.008,0.316,12642966.089,1906.828,2097.725,20000,20000,20000,20000,20.565384615384616,64.6,0.44999998807907104,9.999999747378752e-05,90.57495,-0.012349811,9057.907,-0.0002731688,0.018261133,3.5890012,0.0
-145.4,-794.0,-230.047,99.0,40,0,24000,0,24000,False,242,6,61a39_00000,fa5281b6df9d41fa84f7769d0f97e113,2022-01-24_12-46-39,1643028399,19.34832215309143,112.54948401451111,6197,MAC-ATI0602,127.0.0.1,112.54948401451111,0,6,"[-181.2, -177.10000000000002, -178.9999999999999, -284.6, -463.4, -689.9, -145.4, -211.9, -208.19999999999993, -323.9, -202.2, -182.8, -187.20000000000002, -273.6, -151.1, -218.29999999999993, -197.19999999999993, -192.5, -171.8, -199.20000000000002, -165.4, -169.29999999999967, -158.4, -166.9, -180.3, -637.6, -198.39999999999992, -401.8, -269.9, -191.5, -187.3, -389.4, -794.0, -158.8, -381.2, -309.4, -172.19999999999993, -194.20000000000002, -191.5, -168.99999999999991, -148.8, -182.8, -178.5, -172.3, -159.5, -176.3, -189.7, -145.40000000000003, -227.7, -172.39999999999998, -660.8, -206.29999999999998, -174.5, -169.69999999999987, -176.8, -165.90000000000003, -145.60000000000002, -173.29999999999978, -155.69999999999973, -538.4, -180.2999999999999, -164.9, -188.0999999999996, -306.0, -236.1, -158.5, -185.3, -159.10000000000002, -169.19999999999987, -178.09999999999997, -206.99999999999983, -185.69999999999965, -333.7000000000006, -194.1, -196.2, -172.6, -176.6999999999997, -188.89999999999992, -171.9, -169.3, -197.9, -175.0, -207.6999999999998, -199.89999999999998, -176.70000000000002, -230.7999999999998, -404.3, -149.7, -370.0999999999999, -206.69999999999962, -186.59999999999997, -398.09999999999997, -182.8999999999998, -183.2, -193.79999999999984, -176.7, -159.4, -145.7, -149.7, -340.69999999999993]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.4622596635340217,0.9620770992774061,0.06419922079043518,2.713790554974277,0.0,18506.327,216.142,0.299,13393200.639,1870.085,2138.94,24000,24000,24000,24000,24.10740740740741,65.0185185185185,0.44999998807907104,9.999999747378752e-05,20.434586,-0.014590388,2044.3002,-0.00010313302,0.013719189,3.5565507,0.0
-130.70000000000002,-660.8,-199.9459999999999,99.0,40,0,28000,0,28000,False,282,7,61a39_00000,fa5281b6df9d41fa84f7769d0f97e113,2022-01-24_12-46-57,1643028417,18.207050323486328,130.75653433799744,6197,MAC-ATI0602,127.0.0.1,130.75653433799744,0,7,"[-148.8, -182.8, -178.5, -172.3, -159.5, -176.3, -189.7, -145.40000000000003, -227.7, -172.39999999999998, -660.8, -206.29999999999998, -174.5, -169.69999999999987, -176.8, -165.90000000000003, -145.60000000000002, -173.29999999999978, -155.69999999999973, -538.4, -180.2999999999999, -164.9, -188.0999999999996, -306.0, -236.1, -158.5, -185.3, -159.10000000000002, -169.19999999999987, -178.09999999999997, -206.99999999999983, -185.69999999999965, -333.7000000000006, -194.1, -196.2, -172.6, -176.6999999999997, -188.89999999999992, -171.9, -169.3, -197.9, -175.0, -207.6999999999998, -199.89999999999998, -176.70000000000002, -230.7999999999998, -404.3, -149.7, -370.0999999999999, -206.69999999999962, -186.59999999999997, -398.09999999999997, -182.8999999999998, -183.2, -193.79999999999984, -176.7, -159.4, -145.7, -149.7, -340.69999999999993, -171.3999999999998, -183.9, -152.69999999999973, -168.69999999999973, -193.39999999999972, -175.20000000000002, -176.3, -171.1, -213.99999999999991, -171.49999999999983, -178.39999999999984, -195.79999999999993, -174.7, -214.6, -188.20000000000002, -156.7, -201.1, -177.70000000000002, -347.7, -142.8, -174.19999999999976, -186.70000000000002, -163.4, -187.4999999999998, -190.89999999999998, -203.6999999999996, -130.70000000000002, -150.80000000000004, -136.5, -186.69999999999973, -171.9, -169.39999999999998, -202.69999999999965, -171.19999999999973, -175.3, -202.8, -184.6, -160.20000000000002, -168.8, -242.99999999999991]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.4610625448799331,0.962443642387049,0.06411301766681601,2.7151933831366954,0.0,18462.299,216.658,0.286,13979349.125,1847.958,2164.551,28000,28000,28000,28000,23.138461538461538,64.9346153846154,0.44999998807907104,9.999999747378752e-05,17.519306,-0.01434669,1752.7672,-2.2425895e-05,0.013289922,3.5346794,0.0
-130.70000000000002,-404.3,-190.43199999999993,99.0,41,0,32000,0,32000,False,323,8,61a39_00000,fa5281b6df9d41fa84f7769d0f97e113,2022-01-24_12-47-14,1643028434,17.308277130126953,148.0648114681244,6197,MAC-ATI0602,127.0.0.1,148.0648114681244,0,8,"[-175.0, -207.6999999999998, -199.89999999999998, -176.70000000000002, -230.7999999999998, -404.3, -149.7, -370.0999999999999, -206.69999999999962, -186.59999999999997, -398.09999999999997, -182.8999999999998, -183.2, -193.79999999999984, -176.7, -159.4, -145.7, -149.7, -340.69999999999993, -171.3999999999998, -183.9, -152.69999999999973, -168.69999999999973, -193.39999999999972, -175.20000000000002, -176.3, -171.1, -213.99999999999991, -171.49999999999983, -178.39999999999984, -195.79999999999993, -174.7, -214.6, -188.20000000000002, -156.7, -201.1, -177.70000000000002, -347.7, -142.8, -174.19999999999976, -186.70000000000002, -163.4, -187.4999999999998, -190.89999999999998, -203.6999999999996, -130.70000000000002, -150.80000000000004, -136.5, -186.69999999999973, -171.9, -169.39999999999998, -202.69999999999965, -171.19999999999973, -175.3, -202.8, -184.6, -160.20000000000002, -168.8, -242.99999999999991, -347.1, -181.69999999999968, -186.2999999999999, -221.89999999999975, -142.8, -157.49999999999994, -145.60000000000002, -160.69999999999965, -172.10000000000002, -183.29999999999984, -184.70000000000005, -227.3, -147.59999999999997, -168.1999999999997, -167.5, -173.90000000000003, -171.29999999999984, -168.9, -191.69999999999965, -141.59999999999997, -160.7, -177.99999999999983, -158.70000000000005, -326.0999999999999, -161.6, -145.70000000000002, -176.69999999999962, -178.5999999999998, -194.7, -161.8, -162.6, -208.39999999999992, -192.69999999999962, -169.70000000000005, -174.29999999999993, -186.29999999999998, -180.59999999999997, -149.90000000000003, -216.29999999999998, -160.8999999999997, -202.59999999999965]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.4578011452942349,0.9586851720236607,0.06370390837299916,2.705432283868779,0.0,18287.096,218.733,0.289,13829750.438,1864.677,2145.144,32000,32000,32000,32000,20.616,64.884,0.44999998807907104,9.999999747378752e-05,13.786771,-0.00790018,1378.8877,6.953811e-06,0.012878064,3.486446,0.0
-124.2,-347.1,-180.57099999999994,99.0,40,0,36000,0,36000,False,363,9,61a39_00000,fa5281b6df9d41fa84f7769d0f97e113,2022-01-24_12-47-31,1643028451,16.810675859451294,164.87548732757568,6197,MAC-ATI0602,127.0.0.1,164.87548732757568,0,9,"[-186.70000000000002, -163.4, -187.4999999999998, -190.89999999999998, -203.6999999999996, -130.70000000000002, -150.80000000000004, -136.5, -186.69999999999973, -171.9, -169.39999999999998, -202.69999999999965, -171.19999999999973, -175.3, -202.8, -184.6, -160.20000000000002, -168.8, -242.99999999999991, -347.1, -181.69999999999968, -186.2999999999999, -221.89999999999975, -142.8, -157.49999999999994, -145.60000000000002, -160.69999999999965, -172.10000000000002, -183.29999999999984, -184.70000000000005, -227.3, -147.59999999999997, -168.1999999999997, -167.5, -173.90000000000003, -171.29999999999984, -168.9, -191.69999999999965, -141.59999999999997, -160.7, -177.99999999999983, -158.70000000000005, -326.0999999999999, -161.6, -145.70000000000002, -176.69999999999962, -178.5999999999998, -194.7, -161.8, -162.6, -208.39999999999992, -192.69999999999962, -169.70000000000005, -174.29999999999993, -186.29999999999998, -180.59999999999997, -149.90000000000003, -216.29999999999998, -160.8999999999997, -202.59999999999965, -164.1, -152.69999999999973, -167.60000000000002, -177.3, -157.90000000000003, -275.7, -160.00000000000003, -157.9, -188.5, -146.5999999999998, -154.19999999999993, -168.4, -185.4, -165.99999999999986, -198.6, -158.7, -170.3999999999999, -181.0, -151.59999999999982, -178.8, -182.59999999999985, -165.7, -166.00000000000003, -162.2, -178.59999999999997, -180.4, -172.3, -124.2, -161.4, -130.2, -135.69999999999976, -203.69999999999962, -303.8, -188.50000000000003, -173.2999999999999, -275.89999999999986, -193.59999999999985, -212.8, -218.49999999999972, -190.9]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.45249948788526795,0.9498311447843321,0.06290929176225973,2.6802324862841442,0.0,18138.834,220.521,0.296,13498564.634,1863.969,2145.958,36000,36000,36000,36000,18.754166666666666,64.47916666666667,0.44999998807907104,9.999999747378752e-05,14.789095,-0.015620297,1479.8354,-0.000100580146,0.014139034,3.446872,0.0
-124.2,-326.0999999999999,-175.43799999999996,99.0,41,0,40000,0,40000,False,404,10,61a39_00000,fa5281b6df9d41fa84f7769d0f97e113,2022-01-24_12-47-48,1643028468,17.23304581642151,182.1085331439972,6197,MAC-ATI0602,127.0.0.1,182.1085331439972,0,10,"[-158.70000000000005, -326.0999999999999, -161.6, -145.70000000000002, -176.69999999999962, -178.5999999999998, -194.7, -161.8, -162.6, -208.39999999999992, -192.69999999999962, -169.70000000000005, -174.29999999999993, -186.29999999999998, -180.59999999999997, -149.90000000000003, -216.29999999999998, -160.8999999999997, -202.59999999999965, -164.1, -152.69999999999973, -167.60000000000002, -177.3, -157.90000000000003, -275.7, -160.00000000000003, -157.9, -188.5, -146.5999999999998, -154.19999999999993, -168.4, -185.4, -165.99999999999986, -198.6, -158.7, -170.3999999999999, -181.0, -151.59999999999982, -178.8, -182.59999999999985, -165.7, -166.00000000000003, -162.2, -178.59999999999997, -180.4, -172.3, -124.2, -161.4, -130.2, -135.69999999999976, -203.69999999999962, -303.8, -188.50000000000003, -173.2999999999999, -275.89999999999986, -193.59999999999985, -212.8, -218.49999999999972, -190.9, -270.39999999999986, -168.69999999999985, -187.59999999999994, -168.89999999999998, -154.69999999999973, -152.4, -163.5, -173.8, -147.10000000000002, -146.80000000000004, -184.0, -216.59999999999982, -149.69999999999976, -176.5, -155.7, -154.8, -164.49999999999983, -168.29999999999995, -161.6, -168.0, -166.7999999999998, -139.10000000000002, -146.7, -155.20000000000002, -164.5, -164.4, -217.39999999999998, -158.6999999999997, -189.1, -169.60000000000002, -150.4, -138.2, -142.9, -143.2, -187.8999999999998, -185.50000000000003, -160.10000000000002, -172.20000000000002, -143.7, -178.8, -145.9]","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",0.4483583090821003,0.9414045594594879,0.0621738316125789,2.656326883403092,0.0,18069.301,221.37,0.288,13889573.64,1844.324,2168.816,40000,40000,40000,40000,19.825,64.40416666666668,0.44999998807907104,9.999999747378752e-05,11.881305,-0.0050151097,1187.962,0.030019509,0.014886839,3.394627,0.0
